created_at,text
2025-07-02 23:03:31,"오.. 그랬었군요. 그럼 넥스트는 skt 도 인수당해야 공평항거니 일론엉아가 스타링크코리아 오픈하면서 skt 인수 하면 보기 좋겠네요. 

뭐 일론이 주식 몇개만 팔아도 skt 같은건 그냥 오늘이라도 살텐데요."
2025-07-02 21:54:42,근데.. 내가 받은 skt 아이폰16이 구린건지 16자체인터페이스가 잘못된건진 모르겠는데 암튼 애들아 너넨 이걸로 바꾸지나
2025-07-02 19:25:58,"방탄소년단 BTS SKT 굿즈 양도  WTS

북마크 0.8
엽서 일괄 1.0
데쿠-지민 / 뷔 / 정국 2.5
        -진/ 슈가 2.0
        -제이홉/RM 1.5
포스터 0.5
옵챗 또는 맘찍 후 DM


반택준등기택배

방탄 BTS JIN SUGA RM J-HOPE JIMIN V JUNGKOOK 양도 판매 sell"
2025-07-02 16:37:34,작년에 디엠에 트친인분이 링크 보내셔서 트위터로 읽었더니 내가 보낸적도 없는데 다른 트친들에게 링크가 전부 보내졌다. 트위터 이슈 화력 기억하시나요... 일론뜨고 아무래도 보안문제 말많았는데 skt쪽 유출까지 합하면 사실상 신상정보 프리소스된거임
2025-07-02 15:14:07,"와 나도 삼진아웃이다ㅋㅋㅋㅋㅋㅋ
나도 skt쓰고 예사와 인터파크 다 쓰는데ㅋㅋㅋㅋㅋㅋ"
2025-07-02 14:42:00,나 지금 skt 빼고 다 경험했네
2025-07-02 13:55:48,SKT 예사 인팤 다 걸린 연뮤덕....
2025-07-02 13:44:31,"독일 생활에 마가 꼈나
외국이라 유심도 못 바꾸는데 skt 예사 인팤 지금 세개 모아서 터트릴 수 있음"
2025-07-02 13:42:33,"skt>yse24>인터파크
다..나네? 
내 개인정보가 나보다 해외 많이가네 킹받게
그래서 다음은 티켓링크냐?"
2025-07-02 13:41:28,응 이미 skt 털고 예스24 털리고 다 털려서 느그ㅡㄹ이 털어갈거 없지롣~
2025-07-02 13:36:46,"SKT, 예사, 인터파크, 테무, 알리 다 쓰는 나... 이러면 쓰촨성에 얼린귤 25명쯤 더 살고 있어도 모르죠."
2025-07-02 13:36:36,"네이트, skt, 예스24, 인터파크까지~~~ 내 개인정보가 전체공개 될줄은 몰랐지"
2025-07-02 13:36:13,"제가 개인정보 3번털린 skt쓰는 뮤덕으로 보이시나요
맞아요"
2025-07-02 13:33:24,"?? 내 개인정보 공공제인지 이제 암 ㅅㅂ작작해
skt 예사 인팤 다음은 없는거지? 그렇지?"
2025-07-02 13:33:10,"skt에서도 털려 예사도 털려 놀도 털려....
뭐냐......"
2025-07-02 13:17:15,"2025년 7월 SKT 데이터 양도 선물판매합니다
현재 2기가 있음

1기가 = 2500원
2기가 = 4000원

데이터 쿠폰 판매"
2025-07-02 12:59:57,절때 김치의 힘을 얕보지마라~!! E-sport강국의 힘을 여기서도 보여줍시두~!! SKT1 화이팅~!! (여기가아닌가...)
2025-07-02 12:38:49,걍이제... 체념함 저는 알리에서 물건도 사고 skt도 썼(었)고 예사에 한달평균 여섯자리 금액을 쓰고 놀은 사이트 문턱이 마르고 닳도록 산책한지 n년임 이제 저는 중국 산시성 린펀시에 사는 왕리쥐안씨(그런사람모름)가 제 이름으로 인터넷을 하고 계셔도 별로 이상하지 않을것같습니다
2025-07-02 12:35:22,"이런ㅋㅋㅋ친구가 퇴근하고 아이스크림 먹재서
패기있게ㅋㅋㅋ내가 사줄게,하겐다즈ㄱㄱ?했는데
40프로 세일인 줄 알았더니 skt아니면 원가였음ㄱ-"
2025-07-02 11:41:08,"테무 예4 skt 인팤…. 아주 그냥 다 털어가라 가
이제 털릴 정보도 없다
각국에 공파리 4명씩은 있을듯"
2025-07-02 11:20:19,skt 부터 인팤까지 어디까지 퍼지냐고 개인정보
2025-07-02 10:59:00,"skt 쓰는 뮤덕...
skt->예사->인터파크 줄줄이 터지는 거 보고
이제 내 개인정보는 거의 체념 상태...."
2025-07-02 10:44:19,이거 때문에 망할 skt 유지중인데 점점 라인업이 별로네요 ㅠ
2025-07-02 09:52:20,기냥 SKT 븹 컬쳐랜드 결제
2025-07-02 09:25:39,월 250MB 데이터 조루 SKT와 작별. 굉장히 오래 써온 통신사라 욕하진 않겠습니다만 - 약정 없이 더 저렴한 월 19800원에 데이터 7GB에 데이터 다 쓰면 속도 낮춰서 무제한인 요금제가 판촉이 들어와서 못 참고 바로 갈아탔네요. 신청하니 퀵으로 유심 오기까지 10분 밖에 안 걸린 게 대박 포인트.
2025-07-02 09:03:52,"핸드폰 화면이 안나와서(소위 말하는 흑화현상) 유심빼고 공기계에 넣었는데, skt여서 유출사고때매 유심보호 해놔가지고 전화 문자도 안됨ㅠㅠㅋㅋㅋ아 핸폰 껐다키지말걸 괜히 꺼서 패턴도 안먹히고 들어가지지도 않고... 또 디스플레이에 돈쓰게 생김ㅜㅠ"
2025-07-02 08:55:16,KT 쓰는데 와이번스 응원하는 사람 vs SKT 쓰는데 위즈 응원하는 사람 세기의대결
2025-07-02 08:24:42,"Skt 쓰시는 분들 오늘 영화 8500원 행사하니까
손해보시지 말고 꼭 보시길"
