created_at,text,like_count
2025-04-21 23:55:49,저도 skt쓰는데,0
2025-04-21 23:23:59,들어보니까 skt인터넷쓰는사람들이 유독 온격 핑이 튄다는 얘기가 있던데 진짠가,2
2025-04-21 17:59:06,SKT 이빈다,0
2025-04-21 17:02:33,"우승도 개인기록도 없는 선수가 주전 차지하는게 
낙하산이면 
SKT T1이 T1으로 이름 변경 후 최초의 낙하산이 구마유시인가?",107
2025-04-21 16:55:35,아니 skt t1 연습생입니다 라고 떡하니 말하는 인터뷰 영상이 있는데 진짴ㅋㅋㅋㅋ 틀린 답을 말해놓고 당당한 저 태도를 어쩌면 좋을까요ㅋㅋㅋㅋㅋ,1
2025-04-21 14:31:37,이때 SKT소속 연습생이였구요~,0
2025-04-21 13:18:45,"민형이 만큼 성골 유스인 선수가 얼마 없는데

keg seoul 아마추어 -> skt t1 연습생 -> t1 원딜 벤치선수 -> t1 주전 원딜 -> 전승 우승 -> 월즈 리핏

민형이 만큼 원클럽 선수로서 커리어가 좋은 선수는 오너, 페이커, 케리아, 쇼메이커 정도인데 ㅋㅋㅋㅋ",5
2025-04-21 13:05:23,"아시발데이터다썻더니트이터가안되네
데이터선물해줄통신사SKT인트친?",2
2025-04-21 11:28:10,keg가 구단임? 나무위키 딸깍질 한 주제에 모르면 직접 찾아보세요라고 하네 그때도 skt t1 소속이었는데요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5
2025-04-21 11:17:21,"성골 유스는 구마유시도 성골유스라구요
친형부터 skt 프로게이머
skt 연습생에서 t1 리그 전승우승에 월즈우승리핏까지 기여했는데
쓰면서도 이런걸 왜 비교하는지 유치하긴 한데 ㅋㅋ 성골유스를 이따구로 대한다 뭐다 한을 먹길래 그럼 우리는 한을 얼마나 퍼먹어야하지 ㄷㄷ 진짜모르겠어",463
2025-04-21 11:00:50,프로 부캐 12345가 솔랭 상위권 먹던 시대에서 중3짜리가 챌린저 찍었으면 구라 보태서 중국에서도 연락왔음 ㅋㅋ 그중 구마유시가 skt t1을 고른거임,221
2025-04-21 10:57:32,"이미 저때 skt t1 소속이었고(중3? 고1?때 바로 skt랑 계약함, 본인입으로 얘기한거니까 찾아보든지) 나이가 어리니까 집에서 학교다니고 겜하다가 2019년에 데려온거임 어차피 나이제한으로 출전도 못하고 아무것도 못하니까 나가보라고 허락해준거고 ㅋㅋ",74
2025-04-21 10:53:41,"skt t1이 구마유시 연습생 기간 길어서 뭐라도 하고싶어하니까 나가도된다고 허락한거다 시발ㅋㅋ

진짜 모르면 아는척하지말랫지;",540
