created_at,text,like_count
2025-04-23 23:54:02,"2천만명의 개인정보 팔렸는데
한국인 그 누구도 skt텔레콤에 소송을 안함

웃긴 나라",10
2025-04-23 23:52:52,skt 그냥 빡쳐서 홧김에 유심 바꾸고 옴,4
2025-04-23 23:50:59,내가 유심보호서비스를 해지하기까지 문자를SKT 6개 은행에서 3개를 받음ㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ,1
2025-04-23 23:50:47,뭐 해야 하는게 왜이렇게 많나요. skt여서 유심 관련으로 문제도 생겨....내 명의는 도용을 당했지요... 안그래도 오늘 모르는 폰으로 로그인되서 그걸 로그아웃했죠...근데 그놈자식 끈질겼군요...ㅎ,0
2025-04-23 23:49:26,SKT이망할것들아,0
2025-04-23 23:47:25,아니 책읽고 왔더니 skt가 털렸어? 이게 무슨소리야 잠깐만,4
2025-04-23 23:47:21,SKT쓰는 부모님은 몰라서 일요일에 너가 해줘.. 라고 하는데 (자취해서 따로 삼) 이것 참 통신사 회사 가면 해주실려나...,0
2025-04-23 23:47:01,우리집 단체로 skt라 맨붕,0
2025-04-23 23:46:35,"인터넷선이 kt라 통신가 케이티 ㅆ,ㄹ라햇ㄴ,ㄴ데 얘네가 기지국 안달아즌데서 쩔수없이 skt만 씀,,,",1
2025-04-23 23:45:56,skt 대실망이다. 안그래도 힘든 요즘인데 정말 큰일나기전에 유심 바꿔주기 바란다. 초기대응 못해서 재난만들지말고 정신차리고 수습해라!,10
2025-04-23 23:45:27,"SKT 이용자 
급하게 SIM 잠금한다고 설치다가
정말로 잠겨서 ;;

백만년만에 유심칩 꺼내봄
최초 유심개통 때 받았던 칩에
PIN 번호 / PUK 번호 다 있어요
대리점 안가도 잠금 풀려요",4
2025-04-23 23:44:48,"우리집 산골짜기라 skt밖에 안터지는데 진짜 짲,ㅇ난다,,,",1
2025-04-23 23:43:37,skt  유심칩 관련해서.. 나같이 해외에 나와있고 장기 정지 신청한 사람은 어떻게 유심칩 교체하라는거임 ;; 뭔 제대로된 해결책을 줘야 더 큰 개인정보 유출을 막을텐데 왜 고객이 다 알아서 해결해야하는겨,6
2025-04-23 23:42:55,나 skt라고 십새끼들아 유심바꿔주던가--,0
2025-04-23 23:42:39,어떡해요 skt 쓰시는분들 유심 바꾸시나요,0
2025-04-23 23:40:42,나는 skt도아닌데 왜지,0
2025-04-23 23:40:11,"일터지고 막는중인 SKT.
유심보호 해준다는척하면서 자기네 터진일은 슬쩍 뒤로 넘기네...",3
2025-04-23 23:37:10,SKT 유심보호서비스 되게 이런 느낌임,0
2025-04-23 23:36:59,아니 그니깐 지금 내가 skt 유심을 꼽고 있는 상태일 때 털린다는 소리인거임?? 다른 칩 꼽고있으면 괜찮다는 말인건가? ㅈㅂ 아무나 알려줘ㅛㅇ 존나무서워ㅓㅇ휴,0
2025-04-23 23:36:03,"하,,, skt가 해킹만 안당햇어도 내가 이지랄을 떨 필요가 있었을까,,, 내사진이랑 고객 번호같은거 어떡해,,,",3
2025-04-23 23:36:02,"안 하고 후회하는 것보다는 그냥 교체하고 후회하는게 낫습니다
그리고 사람들이 착각하는게... 무슨 주민등록번호 이런거만 개인정보인줄 아는데 그 사람과 관련된 조금의 정보라도 전부다 개인정보에 해당됨
skt에서 보상 안하려 드는것도 ""어쨌든 주민등록번호는 안털렸으니까""인가본데",309
2025-04-23 23:35:28,아씨...진짜 SKT 이새끼들 일 개좆같이하는덕분에 유심교체를 하기는 해야하는데 이걸 시발 왜 피해를 받은 사람이 돈 내고 교체를 해야하는거야?,0
2025-04-23 23:34:45,아오 skt 해킹당한거 지금 알아서 방금 유심보호서비스 가입햇네 스바,1
2025-04-23 23:32:47,전국민 절반이 skt 사용자래요,1
2025-04-23 23:30:51,내가 이 글 보고 헉 skt 유심이 유출됐다네? 하니까 크로스피터가 “유시민?” ㅋㅋㅋㅋ 아 빨리 티월드 체크헤야지,0
2025-04-23 23:29:23,"SKT 해킹 때문에 유심보호서비스 가입하려고 했는데
아차
다음주 해외학회 참석 때문에 로밍 신청해놔서 가입이 안 된다
SKT 개자식들아 왜 해킹 당하냐고",20
2025-04-23 23:26:44,"북한이 해킹했다면 그것도 문제지만, skt가 해킹에 속수무책 당해서 개인정보 유출된것이 더 심각. 그리고 역시나 어떤 보상도 없을거라는게 더더 심각..",0
2025-04-23 23:26:11,"귀찮아서 아직도 skt 쓰는 중
개인정보야 잘가",9
2025-04-23 23:26:06,아오 알뜰skt 쓰는데 샤발것들아 대응 잣같이 하네~~,0
2025-04-23 23:22:57,난 SKT 쓰는데 개인정보가 다 털렸다고 하더라 유심 교체만이 답이라고 하던데 해외 자주 나갔다 와서 유심 교체한지 얼마 안 됨 럭키첫사랑임,13
2025-04-23 23:22:24,구글에서 ‘skt 유심보호서비스’ 검색하면 t월드사이트 유심보호서비스 페이지가 나타남. 접속하면 공지 보이고 상단에 보라색 서비스 가입 페이지 뜸. 로그인-무료유심보호서비스가입하면 완료!,4
2025-04-23 23:20:15,안녕하세요 폰이 벽돌 됐어요 이 미친 skt 새끼들아 공동인증서로 인증해야만 확인이 가능한데 공동인증서를 발급하려면 전화 인증을 해야하고 전화번호를 변경하려면 (ios)문자인증을 해야하는데 sim이 잠겨서 암것두 안댐ㅋㅋㅋㅋㅋㅋ 금융인증서도 되게 만들어야지 업뎃 빠딱빠딱 안하냐 빡대가리야,4
2025-04-23 23:19:24,얘들아(00명)나 아까 낮에skt 개인정도 털렸던 뉴스보고 걱정되서 유심 비번 바꾸려고 들어갔다가 비번 다틀려서 지금 폰 영구적으로 잠겨버림ㅋㅋㅋㅋ아니 ㅅㅂ완전 잠길줄은 몰랐다고!!ㅋㅋㅋㅋㅋ나 미쳐버렼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 낼 출근 우째ㅋㅋㅋㅋㅋㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3
2025-04-23 23:19:14,"아 나도 저런식으로 쓸걸 그랫나ㅋㅋㅋ뭐라해야할지 몰라서 대략 스트레이트하게 니네 잘못이니까 양심이 잇음 유심 무상으로 교체해줘야하지 않겟니?라고 해벌임ㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅜㅜㅜ아니 근데 시발 내가 SKT를 012, 011때부터 썼는데 진짜 한국 통신사들 너무 거지같음",1
2025-04-23 23:18:14,"책임지는 자세란 무엇인가. 윤석열과 SKT를 생각한다. 대통령과 대기업은 책임지는 법을 모르는데, 소시민들은 하루하루를 책임감있게 살아내야 하는걸까.",0
2025-04-23 23:16:06,"우리가좍 전부 skt써서 아침에 대리점 열자마자 다같이 유심 바꾸러 가기루..ㅎ 
담에 폰바꿀때 통신사 갈아타야지 옘뵹",12
2025-04-23 23:15:12,ㅇ ㅏ skt 개오래썻는데 진자 맨날 지랄같이 일하네....,1
2025-04-23 23:14:37,"SKT 저거 알뜰폰도 영향 가는 건가?
아니 알뜰폰 바꾼지 한 달도 안됐는데 이 무슨",0
2025-04-23 23:14:18,나 skt써서그런데 트친들이것도 관심쫌 ㅠㅠ 미친놈들진짜,1
2025-04-23 23:12:45,skt 쌍놈새키들,2
2025-04-23 23:11:41,지금은 괜찮나요 잌호님? 전 트위터는 괜찮았던 거 같은데 갑자기 폰 와이파이가 2번 연속으로 로그아웃 됐어요 폰은 SKT고 집은 KT 쓰고 있고요,1
2025-04-23 23:10:48,"헉아니저두 skt인데
쩌거사실이에요?!?!?!?!",1
2025-04-23 23:09:51,아 씨 SKT 대리점 언제가냐 개색기들아 씨발 진짜 맘에드는게없어,1
2025-04-23 23:09:43,미친 skt놈들아 통신사옮긴다,1
