created_at,text
2025-05-08 23:56:39,"SKT ""5백만 이탈에 7조원 손실 예상""…'위약금 면제' 추궁에 난색

수백만의 정보가 털리는것보다 회사 지키는게 더 중요하겠지.
기득권 지키려고 전쟁도 불사하려던 윤석열처럼."
2025-05-08 23:55:39,유심 핵심 ‘인증키’ 암호화 안한 SKT…“이통3사 중 유일”
2025-05-08 23:48:13,skt 가입자들 이러고도 이동안하면 개돼지 인증이다.
2025-05-08 23:45:06,"SKT와 대조되네… 해킹 피해자 전면 보상한 통신사들
#SKT #해킹 #개인정보유출 #피해보상 #사례"
2025-05-08 23:44:53,이게 공식 문서라고...? SKT가 국회의원들에게 (일부) 고객을 묘사하는 방식 / 오목교 전자상가  -
2025-05-08 23:39:22,어 ㅋㅋ 청문회 잘봤고 skt 이탈해줄게~
2025-05-08 23:39:07,"SKT 20년 가까이 이용하는 고객으로서 점점 참담하다. 처음엔 그냥 늦더라도 USIM만 바꾸면 어떻게든 되겠지 했는데, SKT가 언론이나 국회에 한마디 할 때마다 통신사 옮기는 게 낫겠다는 생각이 씨게 든다."
2025-05-08 23:33:23,으아ㅏㅏ뭐야 skt 켄타한테 털렸었어? 지금 알았네....
2025-05-08 23:31:49,"이재명, SKT 해킹 사태에 '개인정보 보안 만전 기해야'

 개인정보위, SKT, 9일까지 전체 이용자에 유출통지 완료 계획
 보안 관련주 : 한싹, 샌즈랩, 모니터랩, 인스피언, 아톤, 더즌, 아이씨티케이 등
 실시간 무료 텔레그램방"
2025-05-08 23:24:43,족같은 skt 위약금내고 KT 갈까
2025-05-08 23:19:20,SKT는 전관들과 국가대표 악의방패 김앤장 쓰는 비용 싸다 이거니?
2025-05-08 23:02:19,"이게 공식 문서라고...? SKT가 국회의원들에게 (일부) 고객을 묘사하는 방식 / 오목교 전자상가 

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2025-05-08 23:01:41,최태원 회장 'SKT유심해킹' 19일만에 긴급 기자회견에 '진정성 논란'  출처
2025-05-08 22:54:26,"SKT와 과기부는 한패인가? 
(*1:46초~ 속도 2배)"
2025-05-08 22:53:50,SKT 청문회 후 난리난 ‘14조 도시락‘.. ㄷㄷ  via ㅋㅋㅋㅋㅋㅋㅋㅋㅋ미친넘 ㅍㅎㅎㅎㅎ
2025-05-08 22:46:57,"Skt 체급 감소는 대충 1000만명 빠져야 한단 기준으로 26만명, 2.6 퍼센트가 완료 되었는데.

다음 달 중으로 100만명이 번호이동하면 진짜 1000만명 빠질거라고 보면 되나"
2025-05-08 22:45:18,고객을 지키지 못하는 SKT는 이번 기회에 망해야 한다. 그리고 해킹당한 고객모두는 손배송도 시작해야.
2025-05-08 22:43:16,"대충 무선 숫자로만 보면 천만명이 번호 이동을 해야 kt랑 lg랑 비슷하게 되는건데.

천만명이 skt를 떠나는데 걸리는 시간은 얼마나 될지 궁금하다"
2025-05-08 22:38:55,SKT 는 고객을 호갱으로 보고있다
2025-05-08 22:22:49,"거의 20년을 skt만 쓰고있었는데
보통 이 정도면 핸드폰 하나 그냥 줘야하는거 아니냐

어차피 오늘 옮길거지만"
2025-05-08 22:11:00,"Skt는 장기적으로 5년 고객추이 봐야 할 거고, 최태원이는 마누라 바꾼 거 이제 온동네 사람들이 다 알 거고...

애석하게도 sk 놈들이 b2c가 아니라 b2b 하는 놈들이라서 배째라, 우리는 안 할거다. 지랄하는 거 같은데.

위기를 기회로 승화 시키지 못하는 리더십이 오너 리스크고."
2025-05-08 22:10:52,"SKT는 어떻게 자신들의 고객을 이렇게 볼까. 내가 그중에 하나였네. 아 열받아.
이 문서를 보면 삼성전자mx도 화날거 같은데."
2025-05-08 21:13:37,"[속보] 최태원 “SKT 위약금 면제, 형평성·법적 검토해야…이사회 논의”
더보기 >>"
2025-05-08 21:11:16,"SKT, '위약금 폐지' 약속 일주일 만에 '손해' 운운하며 뒷짐

여야 한목소리로 질타…""기업 이미지 더 실추시키고 있어""
""SKT 영업이익이 작년에 1조 8000억이었고 올해 1분기 3개월 동안 5590억의 영업이익이 났다. (국내) 1위 통신사가 이렇게 큰 대형사고를 쳐 놓고 몇"
2025-05-08 21:06:56,"SKT 해킹사고 관련자들 입꾹닫하게 만든 전직 구글 출신 이해민 의원, 그리고 또 다시 분노한 이훈기  출처"
2025-05-08 20:39:48,"[이슈칼럼] SKT 유심 해킹 사고, 예상 시나리오별 취약점 확인과 대응방법"
2025-05-08 20:12:24,SKT 유심 해킹 청문회에서 얘기했던 영국 Telecommunications Security Act(2021년)의 Code of Practice(2022년). 싱가포르 등 다른 나라들도 유사한게 있음.
