created_at,text
2025-06-14 23:14:34,"32만명 정보 털린 전북대 ‘과징금 6.2억’…경찰, 해커 추적 중단

SKT처럼 헛소리하는 경우가 또 있을까봐 하는 말인데, 피해자는 전북대학교가 아니라 해킹에 개인정보를 유출 당한 사람들이 피해자다. SKT도 SKT 자체가 피해자가 아니라 SKT 가입 고객들이 피해자인 것처럼."
2025-06-14 22:56:16,SKT 악성코드 8종 추가 발견… KT·LG U+ 이상무
2025-06-14 22:48:19,"윤석열이 4통신사 추친한다고 했었는데...
skt 터졌는데 옮길 통신사도 없고 개열받내"
2025-06-14 22:05:27,이거입니두 skt 유산 원딜
2025-06-14 21:49:12,"아!!!!탈스크가 답인가!??

SKT 악성코드 8종 추가 발견… KT·LG U+ 이상무"
2025-06-14 21:11:55,"샘숭 올려치기는아닌게 샘숭의 악행은 아예 책도 많이나와있고 그렇다 
근데 엘지 발을씻자가 여론 수습하는척도 안하는게 비교된다 이말임 남초밭임(아닐시 제보 바람) 그리고 그 꼭대기에는 사장 아들인지..아무튼 저만행이 있었고 유심 밍기적거리는 skt 마누라 2조 누구 생각하면 위를 보면 아래가"
2025-06-14 18:16:17,속보))이재명정부 skt 위약금면제 없던일로..
2025-06-14 17:48:34,"중세 판타지 나의 취향이 아님
유일하게 제대로 읽은게 SKT(통신사 아님)인데 이유는 겁나 피폐물이고 주인공이 장발남이었기 때문이다 정작 최애는 개쓰레기 최악의 지능과 인성과 비밀을 가진 주인공 상사였다"
2025-06-14 17:40:05,SKT 추가 근황.jpg
2025-06-14 16:35:33,"난 내 통신사가 하필 skt인거에 별 생각없어
그것보다 급한 불행이 너무 많음"
2025-06-14 16:21:35,Skt해킹당해서 신고접수가안됨데요
2025-06-14 16:11:20,나도 대기업 싫어 하긴 하는데 애초에 기업에게 윤리의식 그딴거 없다고 생각함 걍 법 강하게 해서 하나 라도 어기면 회사 자체를 쪼개버려야 됨 최근 skt 해킹 사건만 봐도 법이 약 하니까 지 멋대로 하잖아 내가 독재자 였으면 skt 사라졌음 책임자들 다 사형 당하고
2025-06-14 15:58:26,"파랑 완독 빨강 읽다맘
아니 근데 솔직히 한국 판타지 소설 빙고라고 할거면 룬아나 눈마새 피마새 드래곤라자 skt는 있어야할거 아닙니까? 판타지 웹소 빙고라고 해주시오"
2025-06-14 14:51:52,보안 부실 기업  SKT 주식을 사야해?
2025-06-14 14:43:26,SKT 악성코드 8종 추가 발견… KT·LG U+ 이상무 < 방송·통신 < 기업 < 기사본문 - IT조선
2025-06-14 13:44:02,"skt의 전통을 이어받았을뿐...,

도멘"
