created_at,text
2025-06-17 23:05:51,"우와... SKT 도 그렇고 Yes24도 그렇고... 
한국 개인정보가 공개정보인 이유가 참.. 
2023년? 보안패치가 종료된걸 아직도 쓰고 있다니...
진짜 어디서부터가 손을 봐야하는건지.."
2025-06-17 22:16:02,"SKT 앞으로도 보안에 돈쓸일 없겠네
엄빠 위약금 거의 사라질때 빨리 옮기라고 해야겠다"
2025-06-17 21:07:28,"미국대선.
CCP.
가짜 신분증.
가짜투표용지 우편배달.

한국대선..
Skt 해킹.
우체국.

모든 증거는 박제."
2025-06-17 17:55:39,하 어차피 사용하지도 않는 폰. skt 터졌을 때 없애버릴 걸 그랬나 보다 . . . 트라우마가 발현이 뙈 . . . 힘들다.
2025-06-17 16:02:44,그런걸 표절이라고 하지!그걸 기생충이라고 하잖아!그러니 상을 타지!당연한거!JYP가 조여정이라며!그런건 또 잘 알아요!내 돈 뱉어!준다며!스트레스!사고 나는게 당연한거지!그걸 질문이라고 해?하늘에 물어봐야지!왜 나한테 그래?스트레스!대통령이 그러니 방이브가 따라하지!skt?나 삐삐부터 쭉…!
2025-06-17 15:56:59,아오 열불나 SKT버립니다
2025-06-17 15:54:31,"아니시발 SKT유심칩때문에 해외결제못하잖아 개씨벌
지금 내금과같은시간을 버리고 통관번화와 주소 꾸역꾸역썼는데 배송비가 애비씨발 17000원이라서 눈물머금고 오디터 포기하고 데이모스만살려는데
SKT이새끼들이 내 피와같은개인정보를 유출시켜버리는바람에 30분낭비함숙제존내많은대 하"
2025-06-17 15:28:46,"SKT, 추가 악성코드 발견 정황…통화기록 유출시 국가 안보 위협

민관합동조사단 CDR 데이터 이동 서버 추적 중
SKT ""통화기록 유출 없어…데이터 암호화""
통화 내역 포함된 CDR 정보 유출 시 파장
철저한 사고 조사와 후속 대책 요구"
2025-06-17 15:05:43,"SKT, 추가 악성코드 발견 정황…통화기록 유출시 국가 안보 위협 - SKT 쓰면 안된다는 거네!"
2025-06-17 14:47:56,SKT가 먼저 넘겨줬다고 어이ㅋㅋ 너무 느리잖냐ㅋㅋ
2025-06-17 14:36:57,"SKT 해킹, 최소 4년 전 시작됐나…악성코드 추가발견 가능성도 (출처 : 머니투데이 | 네이버 뉴스)"
2025-06-17 14:35:21,"아이고

SKT, 추가 악성코드 발견 정황…통화기록 유출시 국가 안보 위협 (출처 : 이데일리 | 네이버 뉴스)"
2025-06-17 14:06:33,"SKT 처음 유심 해킹 터졌을때는 사과 공지도 없다가 뉴스 나오고 시끄러워지니깐 공지 올리고, 가입자들에게 집 근처 제일 가까운 대리점에서 유심 교체해주겠다고 배려해주는 척 했다.
보름정도 지나고 약 4Km 떨어진곳으로 바꾸더라. 
금~월요일까지 4일간이였는데 그 대리점 주말엔 휴무. 씨불"
2025-06-17 13:43:38,SKT가 이걸 배웠어야...
2025-06-17 13:19:26,SKT는 번호이동으로 유입될 신규고객에게 돈을 쓰지 말고 기존 고객에게 먼저 배상금을 돌려주는게 우선 해야 할 일이 아닐까요? 그리고 이번에는 SKT측에 문제로 일어난 일이라 즉시 해지에 인한 위약금을 면제 선언을 반드시 해야 한다!! #skt #sk
2025-06-17 13:19:11,ㅇㅅㅌㅈ는 아예 독방 만들었네요 T1/ T1+SKT
2025-06-17 12:26:39,진짜 다른걸로 열심히 매출 올릴게요 skt 할인 안받을게요 쿠폰 안쓸게요
2025-06-17 12:09:22,"피해호소인이라는 단어를 써야되는건 성범죄 피해자가 아니라 SKT같은 개폐급기업이겠지 세계최초 피해호소기업ㅋㅋㅋㅋ
과기부 장관 유상임씨 퇴임후에 어디로 가는지 지켜보겟긔 ㅎ"
2025-06-17 12:07:38,"위시돌 풀었다가 서버 또 터진 주제에
내가 5천원+2천원 가지고 뭐하라고

Skt랑 예사랑…내 정보 어따 팔았니?"
2025-06-17 11:56:08,YES24 처럼 저렇게 해킹당하면 보상해주는게 더 저렴한데 왜 비싸게 보안에 투자를 해??  SKT  YES24  보면 보안 포기하고 그냥 해킹 당하는게 가성비나 기업 수익에서는 더 현명한 판단인듯….
2025-06-17 11:46:22,"skt 바로 로밍 써본사람
이거 걍 해외 도착하고 설정에서 데이터 로밍만 ON으로 바꿔두면 되나염"
2025-06-17 11:37:17,"“통화내역 유출 확인 안 됐다”…SKT 해킹 3차 조사 발표에 쏠리는 눈

CDR 서버 악성코드 감염 가능성 제기
신규 악성코드 5~6개 추가 발견
정보 유출은 현재 확인 안 돼
합동조사단, 서버 구분 어려움·로그 분석 한계 속 조사중
3차 조사 발표 시점, 예정보다 연기"
2025-06-17 11:35:37,왜 그래도 지들도 해킹“피해자”라 한푼도 못주고 위약금 면제도 안해줄거라는 SKT보다는 양반이구만ㅋㅋㅋㅋㅋ
2025-06-17 11:13:25,나 skt인데 해킹이 맞나?
2025-06-17 11:09:10,"SKT, 추가 악성코드 발견 정황…통화기록 유출시 국가 안보 위협"
2025-06-17 10:56:19,Skt은 뭐하냐
2025-06-17 10:43:14,"[단독] 과기정통부, ‘USIM 해킹 사태’ 위약금 면제 없었던 일로...SKT 신규영업 정지 해제 7월로 가닥                                      뭐?!!!!!!!"
2025-06-17 10:35:20,"SKT, 추가 악성코드 발견 정황…통화기록 유출시 국가 안보 위협 | 다음 - 이데일리"
2025-06-17 10:31:33,아니 시오 skt를 읽엇어.............?
2025-06-17 10:26:10,혹시 한국 대통령 사위나 며느리가 SKT에 있나요?
2025-06-17 09:26:55,"제가 입 거칠게 되는 순간들 따져보면...
사이버불링 당하고 있는 거 보일 때라던가, 이번 SKT 사태때 처럼 피해를 심각하게 입었거나, 제 가까운 사람들 건들거나 그럴 때 엄청 거칠어지거든요?

뭔가 요즘에 이미지가 이미지다보니까 최대한 거친 말 안 쓰고 싶은데 사불이 요즘 자주 뜨네.."
2025-06-17 09:25:19,나 skt라 유심 교체해야 하는데.. 이 김에 통신사 이동을 하는 게 좋을지 그냥 유심만 교체할지 넘나리 고민된다
2025-06-17 09:18:42,"[DD퇴근길] ""통화상세기록 유출 NO""…SKT, '암호화 미흡 논란' 반박"
2025-06-17 08:00:33,"드길 용아맥 봤고, 유심 교체하러간다...
Skt 개**색히들아....."
2025-06-17 07:56:55,"skt 웃기당.. 부가서비스에 비밀번호 입력해야 전화걸수있는거 있어서 신청햇는데 아무리 해도 걍 전화가 걸려버려서 바로 취소함 뭐여..
애초에 이게 부가서비스고 이서비스를 찾아내서 신청하는사람만 하게해주는것도 얼탱이었는디.. 되지도 않는 서비스라니..."
