created_at,text
2025-04-28 23:59:49,"김아람 신한투자증권 연구원은 ""직접적인 재무 부담은 유심 한 개당 원가 약 4000원에 가입자 수 2500만 명을 곱한 것과 수백억원대 과징금을 가정한 1000억~2000억 원 수준으로 추정된다""고 설명했다."
2025-04-28 23:59:47,(서울=뉴스1) 문혜원 기자 = 신한투자증권(008670)은 29일 SK텔레콤(017670)(SKT)의 무상 유심 교체와 관련해 1000억~2000억 원 정도의 비용이 들 것으로 전망했다.
2025-04-28 23:59:01,5월 2일까지 SKT 유심 대리점 입고 없음.....
2025-04-28 23:58:58,"유심이 없어 교체 못해주는 skt
번호이동용 유심은  있다는 건가?"
2025-04-28 23:58:24,유심은(유심칩이든 e심이든) 새로 발급 받으셔야 합니다~
2025-04-28 23:57:41,"""대기업 맞나""… SKT '유심 오픈런'에 노인·장애인 대책도 없었다

장시간 줄 서서 대기해야…예약 서비스 QR코드 인식도 진땀"
2025-04-28 23:57:31,해킹 터진 SK텔레콤 유심 대란… 소비자 불만과 혼란 가중
2025-04-28 23:56:27,SKT 이새끼들 계속 사이버 침해사고라고 애매하게 말하네ㅋㅋㅋ 보안관리 실패로 인한 유심 해킹이라고 하라곸ㅋㅋ하긴 그렇게는 못말하겠지 지들 책임이니까
2025-04-28 23:55:10,"남들 SKT 로 난리인데, 나는 이와 중에 알뜰폰 저렴한거 찾아서 갈아타느라 유심샀다~ 14500원 요금제에서 9500원 요금제로 내려가보자~
(차에서 유튜브보는 버릇 고치느라 무제한 요금제와 프리미엄은 안함)"
2025-04-28 23:55:01,전 예약했는데 어제 오프라인으로 줄 선 사람들 유심 먼저 주고 그랬어서 그냥 기다리고 있어요 여기 사람 존많이네요
2025-04-28 23:53:20,유심 예약서비스 신청햇는데 한 일년 뒤에 연락올것 같음
2025-04-28 23:53:14,"sk 문자 이제서야 쳐 보내네ㅋㅋㅋㅋ
그럼 유심보호서비스는 어디서 어떻게 가입하는지도 안내를 해야할거 아니냐고ㅋㅋㅋㅋ

가입해주세요. 만 띡 보내면 단가ㅋㅋㅋㅋ
그리고 믿고 가입해주세요 ㅇㅈㄹㅋㅋㅋㅋ
뉴스 다 났는데요 멍청이들아ㅋㅋㅋㅋㅋㅋ"
2025-04-28 23:52:45,살다살다 skt 유심 오픈런을 해야하는 인생이 될줄은 몰랐음 진짜 인생 모르는거구나
2025-04-28 23:52:19,아이 씨발 지랄하지 말고 빨리 집으로 유심보내세요 진짜 어이가 없네 어디까지 참아줘야돼 #skt
2025-04-28 23:52:10,"트친여러분 유심교체할 때까지 왠만하면 폰 전원 끄지 마십시오...
잇섭 유튜브가 떠서 보고오니 제공하는 유심보호서비스가 같은 지역에서 같은 유심이 접속할경우 두번째 접속을 차단하는 서비스라서 폰 전원이 꺼지면 유심복제폰이 접속가능하다고 합니다
이거 쓰러 왓음"
2025-04-28 23:51:49,유심 매진이라 예약했어! 유심보호서비스만 해둔 상태
2025-04-28 23:51:06,"LGU+는 유심 택배로 보내줬는데, 대리점 줄 서 교체하라는 SKT

SK텔레콤이 해킹 사고 이후 유심 무상 교체를 시작했지만, 대리점 방문을 강제하면서 고객 불만이 커지고 있음.

28일부터 대리점에서 직접 유심을 교체해야 하고, 신분증 지참도 필수라 긴 줄이 생기고 있음. 유심 재고 부족으로"
2025-04-28 23:50:27,"유심 해킹 난리 속 '유심 초기화'가 대책? 

""중국 해커 수법 이용""/

유심 털렸으면 공인인증서 빼간다? 

핵심의혹 팩트체크/ KBS"
2025-04-28 23:47:18,"아오 통신사 나도 바꾸고시픈데 이미털린 유심 어쩌나 싶긴 하고…
ㅋㅇㅌ는 ㅋㅇㅌ대로 짱나고
ㅇㅈ는 절대안쓰고싶고 (쳐느리고로밍제대로안됨"
2025-04-28 23:47:13,skt 유심시세 ...jpg - 부동산 갤러리
2025-04-28 23:46:33,"다시봐도 입장문 ㅈㄴ어이가 없네

저희 유심보호 서비스를 이용하시면 피해 100% 보상을 해드리지만 몰라서 이용 못하셨을 경우(물론 이용안내 문자 및 전화는 어렵지만) 피해에 대해 민사적으로 해결할 방침입니다! ㅎㅎ

이딴소리해도 과징금을 안쳐먹으니까 도리없이 장사를 그지랄로 쳐하니"
2025-04-28 23:44:23,이거 생각해보니 유심교체 나 이심인데 그냥 이심 교체 도 실 유심으로 바뀌는건가 모르겟네
2025-04-28 23:44:21,유심보호서비스 가입해도 불안하네요 저는 어제 카톡 비번바꾸고 계정 2단계인증까지 해두었습니다. 구글계정도 비번바꾸구요
2025-04-28 23:44:02,"AI 우리편

""해킹 범인을 잡아라, 기업, 국민 피해자를 지켜라! — SKT 유심 해킹 사건과 국가의 책임은 범인을 잡는 것이다."""
2025-04-28 23:43:57,"악성코드만 심어놨을까? 하드웨어 레벨에서 백도어도 다 심어놨다면 포맷해도 다 살아날 수 있음. 그냥 백업 스토리지까지 로우 포맷하고 폐기해야 할 것 같은데 ㄷㄷ ///＂SKT 유심 사용하지 마세요＂…네카오, 임직원에 교체 권고 (출처 : 서울경제 | 네이버 뉴스)"
2025-04-28 23:43:04,"HSS 에 기지국 정보라니 

무슨 키체인얘기가 나오더니 기지국이라니
그냥 HSS 와 연결된 SKT내 모든 서버가 털렸다고 해라

안될과학 이야기가 어느정도 맞아요. 

유심만 교체하면 됩니다."
2025-04-28 23:42:34,"고객: 야 skt~ 니네 해킹당한 정보로 제 은행계좌가 다 털렸어. 물어내.
skt: 유심보호서비스에 가입했음? 안했네?! 가입하라고 울 홈피에 공지했잖아. 왜 안함? 니 책임이야. 보상금 따윈 없어. 꺼져."
2025-04-28 23:41:51,"와
무슨 유심 바꾸러 온 줄이 파이브가이즈 강남점 오픈했을 때 줄만큼 서있어"
2025-04-28 23:41:36,"수소전기차 5만대 시대 코앞인데 서울 충전소 9곳뿐

봄처럼_따스한_원필아_생일축하해 BTS10THHYYH 이승만 박정희 이번주도 호시노겐 유심보호서비스 지휘관님 영원할_방탄의_화양연화 가요대전 올림픽홀"
