created_at,text
2025-07-04 23:57:05,"[더팩트] SKT, 해지 고객 위약금 돌려준다…1.2조원 규모 후속 조치 발표  정권 교체 효용감"
2025-07-04 23:05:41,"[유머]SKT)위약금 및 재가입(?) 혜택 유출 

......."
2025-07-04 23:04:58,"skt 보상안 오피셜

8월 통신요금 50%인하
위약금면제 (해킹사건일~714까지 해지시)
715부터 연말까지 매월 50G 데이터 추가제공
T멤버십 8월부터 매월50%이상 할인프로그램 (ex 뚜레 쥬르, 도미노피자, 파리바게트 등)"
2025-07-04 23:03:24,"- SKT 위약금 면제, 혜택 꼼꼼히 따져봐야 손해 안 본다!"
2025-07-04 22:53:51,"- IMEI 활용 복제폰 피해 발생 가능성 낮아

- CDR 유출 피해는 명확하게 시나리오를 만들기 어려운 상황. 피해자가 인지하고 신고하는 것도 어려운 점이 있어.

[일문일답] 과기정통부 “SKT 해킹사태"""
2025-07-04 22:50:40,"SKT 가 단 10일만 위약금 면제 하는 이유

자신 있는 사람 좆퍼매치 두번째 레슨 신민재 홈런 드디어 시험 엉짱언냐 오원석 10승 최준용 3연투 MnetPlus_ORIGINAL 카톡id"
2025-07-04 22:26:50,"<SKT는 잔머리 굴려서 회피말고 모든 고객에게 정신적 피해를 포함 개인당 수억원씩 보상해야~할듯> 

""4년간 제 집처럼 드나든 해커‥SKT 비밀번호조차 안 바꿨다"" 

이번 해킹사고의 책임이 전적으로 SKT의 허술한 보안에 있었다고 지적"
2025-07-04 21:52:16,지갑에 신분증 털렸는데 쿠폰 쏘는 skt
2025-07-04 21:51:39,"SKT,
“1인당 평균 위약금을 10만 원 추산하고 매출 감소까지 감안하면 3년간 총 손실 규모는 7조 원 이상이 될 수 있다”

도둑놈들 아닌가?
고객이 지불해야 하는 위약금을 왜 손실로 잡아 놓는가?
천문학적인 피해를 입은 고객에겐 겨우 한달 50% 요금 할인으로 때우면서 .."
2025-07-04 21:43:52,"SKT는 진짜 개쓰레기 회사.
최태원 이새끼도 악질"
2025-07-04 21:34:53,"“앞으로 10일” SKT 위약금 면제 받으려면 어찌해야 (출처 : 부산일보 | 네이버 뉴스)  위약금 환급 신청은 오는 15일부터,  실제 위약금 환급은 신청일로부터 7일 이내로 예정. 이미 해지를 한 이전 가입자의 경우... 별도로 고객 인증을 하고 지급 계좌번호를 받는 절차 필요"
2025-07-04 21:26:27,"공범 SKT
알지 4형?"
2025-07-04 20:57:09,"[속보] 과기정통부 ""SKT 위약금 면제 시정명령 불응 시 등록 취소 검토"" - 머니투데이 

이건 실제로 터지면 진짜 볼만할 듯."
2025-07-04 20:54:44,"SKT, 해킹사고 위약금 면제 결정에 주가 5% 급락"
2025-07-04 20:52:22,[속보]정부 ＂침해사고 이후 SKT 떠난 가입자도 위약금 환불해줘야＂ (출처 : 아시아경제 | 네이버 뉴스)
2025-07-04 20:42:49,＂4년간 제 집처럼 드나든 해커‥SKT 비밀번호조차 안 바꿨다＂ (출처 : MBC | 네이버 뉴스)
2025-07-04 20:40:02,활활타고 잿속에서 새로 태어나렴.. SKT
2025-07-04 20:28:14,"SKT 사태 소신발언. 단말기 보조금 받은 다음에 SKT 문제 있었다 위약금 없는 해지 요구하는건 너무 날로 먹으려는 주장임. 통신사만 날로? 나도 좀 날로먹자 할 수 있긴 한데 암튼 그러함.

SKT는 몇조 털릴것 같은데, 이 기회에 쓰레기같은 단말기+서비스 번들 통한 지배력 자율적으로 포기해라."
2025-07-04 20:07:22,"SKT ‘해킹 피해 고객에 위약금 면제’ 수용｜동아일보 /// 정부 “2021년부터 피해, 신고 안해”"
2025-07-04 18:25:39,"이정도면 해지가 이득 아닌가….?
겨우 요금 8월만 50퍼?
skt 는 진짜"
2025-07-04 18:11:30,내 SKT 유심정보도 털렸네 와~!~!
2025-07-04 17:30:13,"Skt 보상 내용 장난하니
8월 한달간 요금 50%ㅋㅋ 장난하냐고
잘있어"
2025-07-04 17:19:03,"SKT 주주도 국민입니다 

ㅠㅠ"
2025-07-04 17:13:20,skt 피해보상안 너무 짜치는데 다른 통신사 가도 뭐 크게 다를까 싶어서 옮기지도 못하겠고
2025-07-04 16:43:28,"SKT 가 단 10일만 위약금 면제 하는 이유
#이유 #위약금 #면제"
2025-07-04 16:43:08,"가족결합때문에 skt에 매여있었는데
엄마가 통신사 바꾸고싶으면 굳이 가족결합때문에 묶여있지 말고 바꾸래서
갈아탈지 말지 고민중"
2025-07-04 16:38:07,SKT 이탈할까 말까.. 기존 고객에게 보상하는 내용이 많이 모자라는데?
2025-07-04 16:35:13,"SKT 기자회견보상안

드림 눈매차이 제노 운전 두번째 레슨 님들의 탐라 포지션 오뉴월을_지나_오뉴의_날 슈가슈가룬 신민재 홈런 간장게장 만루홈런 실버스크랩스"
2025-07-04 16:33:08,통신사 SKT 이신 분들은 14일까지 위약금 면제라고 하니까 잘 확인해 보세요잉....
2025-07-04 16:32:16,"그동안 버티기하던 SKT가 갑자기 약정기간 내 해지 할 때 위약금 면제, 8월 통신료 50% 면제 결정 내막을 알고는 SKT에 크게 실망했다.

고객개인정보 암호화 하지 않고 보관하다 정부합동조사에서 발각서버 조사 하겠다는 조사단에 서버 조사 못하게 망가뜨린 서버 제출 과기부 위약금 면제 결정"
2025-07-04 16:18:05,"위약금 면제, 전고객 8월 요금 50% 할인…파격 보상 내놓은 SKT(종합)"
2025-07-04 16:13:57,국회에서 SKT 사장 속 뒤집어지는 소리만 하는 거 보다가 이런 기사 보니 속이 시원하네요
2025-07-04 16:12:18,결과보고서에 일부러 모든 해킹에 대한 게 아니라 이번 SKT의 경우에 한한다 라고 써놨더구만 개소리를...
2025-07-04 16:05:27,엠바고 깬 기자 이번엔 SKT두둔하는 듯한 질문 #강유정 #대통령실 #정치비서  출처
2025-07-04 15:58:36,"개인정보 유출, 법적으로 무엇이 문제인가?
Legal Breakdown — Why the SKT Leak Matters

 SKT는 '개인정보보호법' 제28조 위반 혐의
기업은 최소한의 보안 조치 의무를 지니며,
이를 게을리하면 행정 제재 + 손해배상 책임 발생

Under Korea’s Personal Information Protection Act (PIPA):"
2025-07-04 15:40:36,"SKT가 갑자기 쳐맞는 이유

키타상 생일 #이즈나 신지 언니 카카오톡 에센셜 블러쉬 신지 결혼 걸스데이 민아 일본 지진 고인의 명복"
2025-07-04 15:30:31,"Skt 위약금 면제  - OK
올해말까지 매달 50GB 데이터 - 무제한이라 의미없음
8월 한달만 요금 50% 할인 - 금액만 보면 4만원?정도만 할인이라 의미없음
티비인터넷 결합은 위약금면제안됨 - 사실상 결합을 할인목적으로 하는거고 이 정보라고 안털린것도 아닐텐데? 의미없음"
2025-07-04 15:29:43,"250704 애플뮤직 파우 홍 pow hong

SKT T1 HONG !"
2025-07-04 15:28:49,고객 보상은 어떻게?‥＂SKT 떠나도 위약금 안 받는다＂ (출처 : MBC | 네이버 뉴스)
2025-07-04 15:25:38,에효 skt 망해야됨
2025-07-04 15:18:37,어케든 돈 안나가게 할인 ㅎㅎ skt 10년 넘게 쓰면 뭐하냐 ㅈㄴ
2025-07-04 14:39:56,"SKT “위약금 면제…8월 요금 50% 할인”
#요금 #할인 #면제 #위약금"
2025-07-04 14:33:18,예사 skt 머리 묶어라
2025-07-04 14:23:38,와우~ 씨발 아주 ㅈ까고자빠졋네 skt 고객인게 부끄럽다 임마들아
2025-07-04 14:22:56,"SKT “위약금 면제…8월 요금 50% 할인”
#위약금 #요금 #할인 #면제"
2025-07-04 14:20:35,SKT 위약금 면제
2025-07-04 14:19:15,지금 SKT 인터넷 불남? 나 지금 인터넷 속도가 100도 안나오는데?
2025-07-04 14:18:31,"""4년간 제 집처럼 드나든 해커‥SKT 비밀번호조차 안 바꿨다""  
 이번 해킹사고의 책임이 전적으로 SKT의 허술한 보안에 있었다"
2025-07-04 14:16:53,"SKT, 1조원대 '고객 보상·정보보호책' 마련…위약금 면제 수용(종합) | 연합뉴스"
2025-07-04 14:13:48,좀 마이너한 앱이지.. skt 사용자들이나 싼맛에 좀 쓸듯
2025-07-04 14:12:28,무제한요금제 이용하는데 50GB 데이터가 뭐... 12월까지 기본료 반값으로 해라!! #skt
2025-07-04 14:12:01,"SKT “위약금 면제…8월 요금 50% 할인”
#위약금 #요금 #할인 #면제"
2025-07-04 14:10:33,"무제한 요금제 계약 중인데? ㅅㅂ #skt 
-----
SKT ""해지 위약금 면제…8월 전 고객 통신료 50% 할인""
출처 : 뉴시스 | 네이버"
2025-07-04 14:10:03,[실시간 이슈 & 뉴스] 1. 온주완 결혼 민아  2. 본회의서 추경 처리키로 3. 한화 선발 폰세 4. SKT 위약금 면제 5. 해수부 이전 반대 6. 이정현 의사 남편 7. 김민석 총리 8. 부대의견 달아 처리키로 9. 유세윤 KBS 방송 10. 한화 김경문 감독
2025-07-04 14:07:05,"SKT, 악성 코드 2021년부터 감염…개인 정보 유출은 없었다 [TOP이슈] #SKT #SKT해킹 #SKT유심 #SKT개인정보유출 #SKT개인정보"
2025-07-04 14:05:15,"[현장영상] 정부 “SKT, 해킹 사고 위약금 면제 해야”… 유심정보 25종 유출"
2025-07-04 14:03:06,SKT 이용자는 확인해보십셔
2025-07-04 13:54:59,"자고 일어나니까 SKT 해지 위약금 면제 소식 떴네

근데 7월 14일까지만 적용이라고?

도라이들인가?"
2025-07-04 13:47:25,"해지 위약금 없이 해지 시켜주겠다 하는 것 같던데
기존 고객에게 50% 할인이 한달 고작인 거 보니 아직 정신 못 차리긴 했나 봄.
그냥 7월 사이 빨리 SKT를 떠나라는 뜻인가 보다.
7월 31일까지 SKT를 빨리 떠나시기 바랍니다.
7월 25일-31일엔 떠나고싶어도 제 때에 못 떠날 듯…?"
2025-07-04 13:43:49,"SKT 정보 다 털리고 이제서야 뭔갈 하다...
50%...? 전액해"
2025-07-04 13:38:34,"[현장영상] 정부 “SKT, 해킹 사고 위약금 면제 해야”… 유심정보 25종 유출"
2025-07-04 13:35:28,"[정권교체의 효능감!]
정부,
SKT 해킹사태 위약금면제 요구!
""이재명대통령을 당선시킨 국민여러분 덕분입니다. 감사합니다!"""
2025-07-04 13:35:27,"많이들 가족 결합되어 있어서리...

SKT 위약금 면제 결정에 통신업계 ‘당혹’…가입자 이탈 가속화하나 | 다음 - 서울신문"
2025-07-04 13:31:26,SKT 진짜 쓰레기네...
2025-07-04 13:28:46,skt 좆밥같아서 내가 다시쓰기가 너무 싫음
2025-07-04 13:26:18,돈으로내놔라skt짜샤
2025-07-04 13:24:06,"“앞으로 10일” SKT 위약금 면제 받으려면 어찌해야 (출처 : 부산일보 | 네이버 뉴스) 
#번호이동위약금면제"
2025-07-04 13:04:01,SKT 여긴 진짜 막장 그 자체네 ㅋㅋㅋ
2025-07-04 12:56:39,"SKT, 1조원대 '고객 보상·정보보호책' 마련…위약금 면제 수용



무제한 쓰는데 데이터를 준다는 거는 사람 우롱하는건가?? PM 일 이렇게 개차반으로 할 거야?"
2025-07-04 12:56:04,아 진짜 좋다 말았네;; SKT 위약금 면제 해준대서 좋아했더니 단말기 할부금은 제외된다는데
2025-07-04 12:53:18,"귀국하고 일본에서 쓰던 이심 삭제하고

원래쓰면 번호로 연결했는데 유심이 먹통임

skt 유심보호서비스때문이라는데

이게무슨..."
2025-07-04 12:50:59,"위약금 면제, 전고객 8월 요금 50% 할인…파격 보상 내놓은 SKT(종합) | 다음 - 이데일리  

보안에 아낌없이 투자 했더라면..."
2025-07-04 12:48:25,규모가 있거나 민감한 정보를 다루는데도 내부망 없는 훼사... 내부망 있는데 망 분리 안 하는 회사... 암호화 우회 아무것도 안 하는 홰사.... 이런 데가 아직 많다는 걸 느끼는 요즘 .. 언제 터질지 아무도 모?름 망 분리 비싼 거 맞지만 SKT 손해배상 비용이랑 비교하면 100배 쌈 ㅅㄱ
2025-07-04 12:47:33,"정부 ""해킹 사태, SKT 귀책사유""…SKT, 해지 위약금 면제"
2025-07-04 12:46:43,"참고로 25년도 SKT해킹은 4월 19일 악성코드 발견, 22일 신고. 그리고 6월초 대선 와우~"
2025-07-04 12:44:01,제발 SKT가 시정명령에 불응하고 등록 취소당해서 국영으로 인수되었으면 좋겠다
2025-07-04 12:43:35,"SKT 위약금 면제 논란…통신업계 ""모든 해킹에 적용될라"" 긴장

""SK텔레콤이 이번 결정으로 손해를 입는 것을 보며 다른 기업도 '보안에 실패하면 저렇게 큰 피해가 있구나'라고 생각할 것""이라며 ""우리나라 보안 문화 향상을 위한 계기로 삼아야 한다""고 말했다."
2025-07-04 12:42:04,"SKT, 발표된 해킹 피해 보상안 정리 (출처 : 인플루언서 |  블로그)"
2025-07-04 12:40:06,저는 오히려 뚫린 skt야말로 최신보안을 갖췄을거라고 생각함
2025-07-04 12:35:13,"SKT, 침해사고 위약금 면제…정부 “회사 귀책 사유” 최종 결론"
2025-07-04 12:33:03,아니 너네 안 감사한거같아........ #SKT
2025-07-04 12:31:08,"SKT “해킹 피해 고객 위약금 면제... 8월 통신비 반값 할인”      

과징금 억수로 나올거야.
그래야 추경예산 조금이라도 메꿔 질테니까.
아니 아니 주머니 들어가나.?"
2025-07-04 12:28:38,최근 skt 해킹 때문에 인증이 막힌 걸로 알아서 다른 인증으로 하셔야 될 거예요…!!
2025-07-04 12:27:43,"SKT에 뒤통수 맞았는데 “이건 너무하잖아요”… 소비자들 ‘분통’ 터지자 정부가 내린 결단


."
2025-07-04 12:25:51,SK텔레콤 해킹 사태에 대한 최종 조사 결과가 나왔습니다. 민관합동조사단은 유출 사태의 책임이 SKT에 있다고 결론 내렸습니다. 개인정보 관리나 사고 이후 대처를 포함해 전반적인 정보보안 시스템이 총체적으로 부실하다고 지적했습니다.
2025-07-04 12:22:58,"<SKT 위약금 면제 드디어 해결했습니다>

•4.30 SKT 1차 청문회
•5. 8 2차 청문회
•6월 5일 SK본사 최태원 회장 항의방문
•6.26 과방위 현안질의
•6. 27 과방위 현안질의

위약금 문제를 끈질기게 제기했습니다.

오늘 과기정통부가 위약금 면제 결론을 냈고, SKT가 위약금 면제를 발표했습니다."
2025-07-04 12:21:51,"소설 입니다.

미 대선 전 틱톡으로 개인정보 유출하여
부정선거 표에 사용 (팩트 확인. 출처 현 FBI 국장)

한국 대선 전 SKT 해킹 사태 
???????????????????????"
2025-07-04 12:21:08,SKT 2021년부터 해킹… 해지 위약금 면제키로
2025-07-04 12:17:04,SKT 쌤통
2025-07-04 12:16:47,"위약금 면제, 전고객 8월 요금 50% 할인…파격 보상 내놓은 SKT(종합) | 다음 - 이데일리"
2025-07-04 12:12:35,[일문일답]이미 SKT 떠난 고객도 위약금 보상…단말 할부금은 제외
2025-07-04 12:12:05,"""4년간 제 집처럼 드나든 해커‥SKT 비밀번호조차 안 바꿨다""
#뉴스데스크

아;; ㅆㅂ!!
귀찮게 계속 비밀번호바꾸라고 들어갈때마다 경고떠서 바꾸다보니;
이젠 너무 복잡해져서 기억도 못하게 된. 포털들 비번이 몇갠데;;
지들은 더 중요한 써버 관리자 비밀번호를 안바꿨어?"
2025-07-04 12:07:56,할인마다 다른 SKT 위약금…＂결합할인 면제 대상 아냐＂ (출처 : 연합뉴스 | 네이버 뉴스)
2025-07-04 12:06:09,"SKT, 신뢰회복 위해 '위약금 면제' 결정…8월 요금 절반 깎아준다 (출처 : 블로터 | 네이버 뉴스)  - 처맞을까봐 마지못해 하면서 신뢰라고 지랄. 그리고 깍아준다? 정신 못차렸어."
2025-07-04 12:05:48,"SKT위약금 면제
혹시 나도 대상자??

#SKT #SKTelecom #SK텔레콤 #과방위 #유심교체 #SKT위약금 #위약금면제 #해킹 #유심 #뉴스 #이슈"
2025-07-04 12:01:03,"총체적 부실이 skt만 그러나 국힘꼴통들, 민주양아치패거리... 막산이 머리 복잡하겠네"
2025-07-04 11:59:13,"고객 보상은 어떻게?‥""SKT 떠나도 위약금 안 받는다"" (2025.07.04/뉴스데스크/MBC)  출처"
2025-07-04 11:52:35,"나는 오랫동안 SKT를 사용하면서 불만이 없었다
그러나 대리점이 사람을 속여서 폰을 판매하는 것을 방치하는 것도 기업이 그 책임을 다하지 않는 것이라고 생각한다"
2025-07-04 11:50:58,"그래서 SKT 고객센터에 항의 했지만 방법이 없다는 대답만 들었다
앞으로 약정되어있는 2년동안 그 대리점이 이익을 보는 것이 너무 화가 났는데 이번에 해지 위약금을 면제 해준다고 하니 탈출해야겠다"
2025-07-04 11:48:59,SKT보상떴대요
2025-07-04 11:45:51,"skt 위약금 면제 , skt 8월 고객에게 50% 통신 할인 
폴드 15만원 인상 , 플립 가격 동결

오늘 많은일이 있었구만.."
2025-07-04 11:45:42,언제 신청하라는거야 글고 또 신청 따로받아? Skt색히들 알아서 딱딱 내 통장에 넣으라고 ㅡㅡ
