created_at,text
2025-05-18 23:55:43,ㄹㅑ skt 때매 퇴근할게요 하기
2025-05-18 23:32:35,제명이식 화법으로 말하자면 AI에 몰빵하다가 SKT는 고객정보 해킹당했거든? 나라를 중공한테 들어다바치겠단 소리 같어?
2025-05-18 23:22:15,"주말에 skb명의를 바꾸려고 t월드 매장 몇군데 들렸는데 다들 이업무는 오프라인매장에선 안되고 주중에 전화로 하라고 한다.
분명 매장밖엔 skt skb마크를 둘다 걸어놓고 있었는데.
이게 맞나???"
2025-05-18 21:24:01,"유심 교체한 이용자, 18일 기준 210만 명… 유심 교체 예약자 669만 명
지난달 번호이동 23만7000명에 집단소송까지… SKT ‘고객신뢰 위원회’ 발족"
2025-05-18 20:58:09,SKT LTE 서비스 활용하는 4가지 방법 -
2025-05-18 16:35:38,SKT 해킹은 믿으면서 왜 부정선거는 안믿지?
2025-05-18 16:24:46,요즘 해킹...? 이런거 왤케 자주 일어남...??? 트위터에 skt에... 대기업들에서 자꾸 우리 정보를 뺐겨 왜
2025-05-18 16:21:28,"정희네가 SKT 안쓰고 KT 써서 다행이야
정희야 KT쓰는 김에 KT할인 받아서 6퇴 보러가렴 만원이란다"
2025-05-18 16:14:22,"[영상 인터뷰] 비디디-커즈 ""SKT-진에어전 패배 아쉬워""  - ㅋㅋㅋㅋㅋㅋ아 둘다 말하는거 ㅈㄴ갓기
8년전이라네요... 오우쉿"
2025-05-18 16:11:32,SKT 유심교체 누적 210만명...유심 재설정 10.9만명 (출처 : 지디넷코리아 | 네이버 뉴스)  우리가 어긴 약관은 약관이 아니고 니네가 어긴 약관은 법이다. 라고 외치는 SKT. 한국의 기업들은 원래 죄 재수없지만 이렇게 대놓고 자기가 만든 약관도 안지키겠다는 기업은
2025-05-18 15:37:59,"아 시좆발 뭔데 난 팔로우 한적 없는 사람이 팔로우 되있어
팔취하긴 했는데 이거 뭐냐, 나 skt한테 털렸냐 시발?"
2025-05-18 15:14:55,악 저만 안 보이나 봐요 т  ̫ т 그리구 피싱 피하셔서 너무 다행이에요!!!!! 저도 skt인데 저였으면 아무것도몰룸 상태로 그냥 탈탈 털렸을 거예요 . . .  남의 돈 날로 먹으려는 인간들 다 지옥가버려…….
2025-05-18 13:57:38,"카르세아린
유레카 07
쓰르라미 울적에
지옥소녀
괭이갈매기 울적에
skt
페이트 제로

저는 이렇게 좋아합니다."
2025-05-18 13:54:48,"SKT 해킹 여파에 자급제폰 거래 31% 급증…갤럭시S25 플러스 99%↑  
#자급제폰"
2025-05-18 13:49:17,"SKT, 갤럭시S25 엣지 지금은 기기변경만 가능[일문일답]"
2025-05-18 13:36:01,"SKT '고객신뢰위원회' 출범…""위약금 면제 고객 시각 전달"""
2025-05-18 12:52:55,[Opinion] The SKT SIM hacking incident... MZ generation won't stand for it [MZ 톡톡] SKT유심 해킹 사건…참지 않는 MZ세대 by 이승희 브랜드마케터
2025-05-18 12:39:57,skt인데 이심교체했더니 전화가 안됌
2025-05-18 12:34:50,"네이버폼썰 
요즘은 네이버폼도 다들 과학의 힘을 빌리는데
저는...그때 일단 피방에 들어갈 시간도 없고 맨날 길바닥에서 skt한테 빌면서 59.7초쯤에 예측제출을 해왔음...
그래서 59초로 들어가서 못가기 vs n번으로 들어가기
이런 삶을 살앗음"
2025-05-18 12:24:25,2조원짜리 SKT유심이 도착함
2025-05-18 12:14:31,"정말 딴 얘기지만 제가 폰이 오늘 완전 고장 낫거든요, 공기계로 유심 옮겨서라도 써보려고 했는디 하필 유심도 막혀서(skt…), 솔직히 별 일 아닌데두 오늘 이상하게 기분이 내내 쳐지더라구요
그러다가 탐라 드러와서 탘긴 누나들 트윗이랑 연성보구 다시 마음이 매우 좋아졌어요, 언제나 감사합니다"
2025-05-18 11:57:00,"skt가 왜 빗장을 열었을까?
최태원이 왜 이재명을 만났을까?

최태원, 오전엔 이재명과 좋았는데…오후엔 민주당서 강력 비판 #돌비뉴스 / JTBC 뉴스룸  출처"
2025-05-18 11:46:45,"다행 
Skt에서 이탈되면 해킹된거라는 썰이 있었어서"
2025-05-18 11:45:26,SKT는 이미 4.5일제 하고 있어 이 씹새끼야 최태원한테 가서 물어봐... 2주에 한번씩 금요일은 쉬어... 가서 물어봐라 4.5일 해서 회사가 옴팡지게 뒤집어 썼는지. ㅅㅂ
2025-05-18 11:34:52,"SKT 바로 박스(baro box) 와이파이 대여 예약한 것 수령. 휴대폰 통신사를 무엇을 쓰든 가능합니다.
현지 이심을 쓰거나 와이파이 도시락을 대여해도 있지만, 이번에는 바로 박스를 대여해 보았어요."
2025-05-18 11:32:19,SKT 드씨 궁금해서 예고 찾아봣는데 진짜 개깔깔 웃엇네 … 뭔 판타지 소설에 고릿적 힙합 음악이
2025-05-18 10:50:49,크아악 skt
2025-05-18 10:49:43,"물론 이것이 모두 SKT 사태와 관련된 것인지 여부는 알려져있지 않습니다.

억측들을 삼가하시고 곧 있을 2차 발표를 들으시면 될것 같습니다.

PS. 현재까지 발표/공유된 SKT사태 관련 악성코드는 12종이며, 모두 BPFdoor 변종입니다. 지금까지 정부가 공식확인한 유출정보는 IMSI와 인증키 입니다."
2025-05-18 10:49:20,Skt시발뭐지 갑자기 부가서비스가입됐다고 뜨는데? 도랏나....
2025-05-18 10:43:58,SKT 해킹 사태 터진 참에 KT 요고 요금제로 이동하고 휴대폰도 256기가로 바꿔버릴까??
2025-05-18 10:00:36,"skt: 고객님~닥치고 요금납부나 제때하세요 
이해하셨죠?"
2025-05-18 09:47:51,혹시 공계 담당자분 skt 유출 피해자신가요?!!ㅠㅠ 그렇지 않고서야 어떻게...이런 트윗을 올려놓고도 모를수가ㅜㅜ
2025-05-18 09:42:04,"흐메~ 
#모바일_신분증 까지~~(무조건 막아야 함)
그래서 skt 가 털려준 거겠지~~
#공중분해 할 놈들 많아~~
사전선거 부정 지원세력이 자유대한에서 
무사히 기업할수 있게 두는건 자유가 아니라 방임이야~~
#부정선거_사범 은 누구든 #사형감 이야~~"
2025-05-18 09:34:32,"2025년 유심 보호 서비스, 어떤 걸 선택할까?   
해외 출장 또는 금융 거래가 많다면 SKT의 실시간 감시 서비스가 딱!   
간편한 설정을 원한다면 KT가 좋고,  
복제 걱정 없이 안전함을 원한다면 LGU+를 추천!   
안전한 스마트폰 사용, 지금 바로 확인해보세요!"
2025-05-18 09:21:04,"저도 skt라 첨엔 해킹당한줄
근데 초기화 하니까 괜찮아지더라고요"
2025-05-18 09:00:43,LG유플 익시오 이거 괜찮나.. 요금할인 곧 끝나는데 SKT로는 이제 못 가고 KT에 잔류하자니 이 망할 것들은 통화녹음앱 안 내주고있고 남은 선택지는 LG유플인데..
2025-05-18 09:00:02,"SK텔레콤 이용자 9100여 명이 해킹 사태와 관련해 회사를 상대로 1인당 50만 원 위자료를 요구하며 집단소송을 냈습니다.

#SKT #유심교체 #집단소송"
2025-05-18 08:40:52,제가 SKT 통신사를 사용하는 사람인데 현재까지 유심을 바꾸지 않아 휴대폰의 모든 구글 계정도 먹통이더라고요 그래서 X도 접속 되지 않고 있습니다. 휴대폰만 그런 상태고 현재 노트북으로 글을 게시 하고 있습니다. 빠른 시일 내로 유심 교체하세요. 저도 너무 당황스럽네요.
2025-05-18 08:24:52,"카카오톡이 중국과 북한에 소스코드가 넘어가 사실상 그들의 해킹에 무방비라는 루머가 지난 몇년딩안 꾸준히 돌고 있다. 이번 SKT 사태에서도 보면 해킹툴이 25개나 서버에서 추가로 발견되었다는데. 
과연 카카오를 계속 써야하나 갈등이다."
2025-05-18 08:24:33,"또이름무료공개함
ㅆㅂ skt가 다유출시켜서경각심도없어집"
2025-05-18 07:54:56,SKT “고객정보 유출 따른 피해 없다”…추가 악성코드 발견 여부엔 “곧 정부 발표있을 것” (출처 : 디지털데일리 | 네이버 뉴스)
2025-05-18 07:46:08,"KT, 클린존·AI 메일보안 서비스 제공
LG유플러스는 매장서 스마트폰 보안 점검
한 달 만에 SKT 가입자 33만 명 떠났다

SKT 대규모 해킹에⋯KT·LG유플러스 틈새 '보안 고도화'"
2025-05-18 07:24:39,민주당에 항의하시죠. 번호 어떻게 알았냐고. SKT 랑 무슨 사이냐고.
2025-05-18 07:15:15,"- SKT 유심 교체와 재설정, 210만 명의 선택과 변화의 물결"
2025-05-18 07:14:23,"뒤늦은 '입력 중'에 이용자는 ‘나가기 중’…혁신 빠진 카카오 실험 정신
 

카카오나 SKT나 비슷한 운명이지 않을까..."
2025-05-18 07:12:24,"SKT 해킹 사고 한 달…유심 교체, 전체 이용자 10% 못 미쳐"
2025-05-18 06:55:55,"테무 깔말
어차피 skt써서 개인정보 공공재일 것 같은데 걍 깔까"
2025-05-18 06:44:19,"SKT '고객신뢰위원회' 출범…""위약금 면제 고객 시각 전달"""
