created_at,text,like_count
2025-04-22 23:53:17,"SKT 해킹 고객정보 유출 

우선 필수로 확인하고 해야하는 대응방안
 1. SKT 고객
  - 유심보호서비스 가입하기 (무료)

 2. USIM 비밀번호 설정
  1) 갤럭시 유심 비밀번호 설정
   - 휴대전화 설정 메뉴에서 ""보안 및 개인정보 보호"" 
      또는 ""생체 인식 및 보안"" 메뉴
   - ""USIM 카드 잠금",2959
2025-04-22 23:52:56,[유머] 지금 SKT 유심 해킹이 존1나 심각한 이유.JPG,0
2025-04-22 23:39:38,"skt 사용하시는 분들 혹시
모르니 유심보호 서비스 신청하세요 무료에요",0
2025-04-22 23:32:07,한국방문해서 유심교체해서쓰는데 외국인 정보도 다 털린건가? 어디다 고소해야하나....,1
2025-04-22 23:31:04,"[SKT 이용자들 필독]
유심키 유출 가능성이 있다고 하니 빠르게 Tworld 앱 이용하셔서 공지 확인 후 유심보호서비스 신청하시는게 좋을 것 같습니다. (무료로 제공 중) 유심 스와핑(KT)으로 코인원이 털린 전례가 있습니다.",6
2025-04-22 23:09:04,"[단독] SKT, 중앙서버가 털렸다…가입자 유심정보 유출 // 이런 마당에 중국 가전제품 쓰면 개인정보 털린다 어쩐다 하는게 의미가 있나",0
2025-04-22 23:08:36,복이보러가야지.... 이러려고 잃어버린 하나셀 유심을 찾았나봄,1
2025-04-22 23:00:42,SKT 유심정보 유출,0
2025-04-22 22:50:23,셜록 다시 보고싶은데 아마존 로그인 하려면 인증해야해서... 유심 갈아끼우는거 귀찮아 그리고 101만 영원히 보고싶음,1
2025-04-22 22:49:15,"서비스 센터 가는 길에 보이던 복구 업체.. 하나뿐인줄 알았는데 지도에서 찾아보니 몇 개 있다 자신이 있다는 걸까
기사님께서 위쪽이 문제면 정보는 살릴 수 없다고 단호하게 말하시긴 했는데...
아무튼 집에 공기계... 있긴 하지만 켜지려나..? 싶어서 유심칩도 안 받아왔고",0
2025-04-22 22:45:17,데이터 전송 중이라는 것을 보니 잘 진행 중인 듯. 16분 남았다니 너무 늦지 않게 잘 수 있을 듯도. 유심도 바꾸어 꼽긴 해야하는데.,0
2025-04-22 22:43:26,ㅈ댐 엄마가 유심 핀 비밀번호 설정해야한다고 해서 시키는대로 뭣모르고 눌렀다가 폰 잠김,3
2025-04-22 22:33:23,"아니 이런걸 왜 문자로 먼저 고객들한테 안하고 꼭 공지사항이나 티월드 들어가야 아냐고 
유심정보면 요즘 전부 핸드폰 인증인데",3
2025-04-22 22:30:15,"실물유심 무료 신청 경로: '요금제' 메뉴 클릭-스크롤 내려서 '지금 바로 유심신청'

2. 번호이동 할건지, 신규개통 할건지 정하기

번호이동이란? 원래 쓰던번호 그대로 통신사만 이동하는 것
신규개통이란? 새로운 폰 번호 만들고 개통하는 것

전 원래 쓰는 통신사에 만족하고,",16
2025-04-22 22:30:14,"이벤트 1: 첫 고객님께 무조건 드려요(3만원)

참여방법
1.셀프개통 먼저 하고
2.이벤트페이지에서 응모하기 버튼 클릭

셀프개통 방법
1. 유심으로 개통할건지 ESIM으로 개통할건지 정하기
->실물 유심 무료로 줍니다.
->저는 Esim 되는 폰이라서 Esim으로 개통했어요",8
2025-04-22 22:21:16,유심 찾고 살아난 모습을 킴게가 찍어줌,6
2025-04-22 21:55:21,기애옹님 멘션보고 저도 확인하니까 당첨이네요 유심보호 가입 완 고마와요.,1
2025-04-22 21:39:10,스크병신새끼들은 유심번호털려가지고 노친네들불안하게하네 유심털렷으면 그 앞단계정보는 이미다털린거잖아 ? 유심번호만 털린미냥 언플해서 물타기하냐? 맨날 사용자한테만 비번을 어케저케만드세요 인증을하세요 지랄하더니 뭔 해킹툴에도 걍 다 퍼넘겨주나부지?ㅋ 아~와파개느린 it강국~?,0
2025-04-22 21:30:02,"모든 고객들에게 무료 유심 교환쿠폰을 제공하고, 가능한한 빨리 대리점을 방문하도록 해야 합니다.",5
2025-04-22 21:21:03,"SK텔레콤 고객 유심 정보 유출.

피해 규모가 공개되진 않았지만 대규모 탈취가 벌어진 것으로 보여요.

유심을 새로 발급받거나 유심보호서비스 신청을 걸어두시면 피해가 덜할 겁니다.

통신사 본사에 차량 돌진을 하는 게 아닌 이상, 여러분을 책임지지 않습니다.",4
2025-04-22 21:14:37,유심 교체 방법도 있는거같아요,0
2025-04-22 21:02:49,"유심만 바꾸면 되는걸까요?! 
후기 궁금합니다",1
2025-04-22 21:01:08,제일 좋은건 유심 변경 보호도 보호지만,0
2025-04-22 20:52:35,"어제부터 본것 같은데 SK를 안써서 눈에 잘 안들어와서...

요즘 핸펀으로 뱅킹,주식, 코인, 쇼핑 다 사용하니까
SK 쓰시는분들  귀찮더라도 홈피가셔서 유심안심보호서비스 가입하셔욤. 무료래요~",7
2025-04-22 20:51:57,"skt유저님들아
필요하다싶으심 티월드가서 가입해요..

유심보호서비스가입",3
2025-04-22 20:50:57,"폰 잃어버린 여정 좀 봐주실 분 진짜 그냥 폰없이 살아라 시험하는 것 같음 

폰을 잃어버림 -> 1박 기다림 -> 찾을 수 없는 운명에 이르름 -> 중고폰을 삼 (배송 기간 약 일주일) -> 그동안 소옥의 공기계에 유심 끼워 개통하려고함 -> 유심을 삼 -> 본인인증을 해야함 -> 폰이 없음 ->",0
2025-04-22 20:30:39,헉 유심보호서비스하면 괜찮은거죠?,2
2025-04-22 20:21:40,"SKT 사용자분들 지금 SKT 털렸답니다.
Tworld 앱 까셔서 유심보호서비스 가입하세요. 
개인정보에 유심털린거면 은행계좌, 주식 싹다 털릴수있습니다.
(내 지갑에 있는 비트코인만 못털어감 소근소근)",2
2025-04-22 20:01:38,SKT 미친럼들 이거 옛날일인가 했더니 오늘이네ㅋㅋㅋ 유심정보 담긴 서버 털림,0
2025-04-22 19:53:56,"모 이런저런 시도해보았지만요,,, 일본유심? 머시기머시기,,, 문명에 뒤떨어진 저는 참 힘들군요ㅠ 일반 예매는 일본 번호가 없어도 가능한지 모르겠지만 일단 거의 반 포기,,, 그냥 그 돈으로 제이슨 동동이나 더 보러가는 걸로~ 다음엔 한국에서 해주라",0
2025-04-22 19:52:16,시사회 다 광탈당하고 유심 정보나 유출되고 침맞고(...) 심지어 이제 짜장면도 배달이 안 와 억까의 날이야,0
2025-04-22 19:51:33,"Skt 쓰시는 분들. Usim  관련 정보가
털렸다고 합니다. 티월드 어플 들어가셔서
유심보호 서비스 가입하세요.
어쩌다 알게되서 개놀램. 이런건 가입자들한테 개별 공지 다 해줘야하는거 아닌가? 어후 퇴근도 못해서 빡치는데 증말",59
2025-04-22 19:48:01,"사실상
주민등록번호 털린거보다
유심털린게 더 위험함",1
2025-04-22 19:30:36,"SKT는 가입자들에게 제3자의 유심 악용을 막는 ‘유심보호서비스’도 무료로 제공하고 있다.

ㅅㅋ쓰는 트치니들 가입해두자",9
2025-04-22 19:26:08,"SKT 해킹이 있었답니다 

대리점가서 유심보호신청하시거나
아래 온라인 신청 링크 꼭 이용하세요!",2
2025-04-22 19:21:07,Skt 해킹당햇대서 유심 비번 설정하려다가 오히려 유심 잠겨서 지금 유심빼고 핸드폰 중임 ㅆ발..,0
2025-04-22 19:13:33,"SKT USIM 해킹당함

탈취자가 가입자의 번호로 사용가능.
가입번호로 가입하는 사이트들 털릴가능성 높음.

예전에 코인원 이렇게 털린적있음.

현재 SKT에서 유심보호서비스 무료로 제공중임.

업비트나 빗썸에 돈많은 사람들은 혹시나 모르니 유심보호서비스 신청들하셈.",4
2025-04-22 19:12:18,"SKT 유심정보 등등 개인정보 해킹당했다고
SKT에서 무료로 유심보호서비스 제공하니까 가입하라는데,
지들이 그냥 SKT 회원들 전체 다 가입시켜줘야되는거 아님??
해킹 당할 수도~ 안 당할 수도~ 있으니 알아서 가입하라는겨? ㅋㅋㅋㅋㅋㅋ 미국이었으면 소송으로 회사 날라갔다",10
2025-04-22 19:00:32,망만 쓰는거면 괜찮긴 할거에요 ㅎㅎ 유심이 문제라,1
2025-04-22 18:59:45,여기에  해당되는 뒤틀린 음지의 유심칩 개도터들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2025-04-22 18:59:43,스크는 유심 해킹 당하고 너님이 보호 서비스 가입하셈 하넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
2025-04-22 18:54:25,유심칩 지 랄나서 다시 고침,2
2025-04-22 18:31:36,"이건 개인정보 털린거랑 차원이 다름.
유심을 복제해서 그대로 사용할 수 있다는 뜻이고, 원소유자의 전화 메신저 웹로긴을 똑같이 볼 수 있고 할 수 있음.
금융 코인 등 모든 금융거래 그대로 훔칠 수 있음.

SKT “해킹 당했다…가입자 유심 정보 유출 의심” 자진신고",2
2025-04-22 18:29:15,"와 SK 유심 사태 이거 좀 큰일인가보다..

SK 쓰는 횽님들은 조치하셔야겠어요..",8
2025-04-22 18:24:47,SK 해킹은 또 뭐냐.. 유심 불법 사욤가능? 다크웹 가능성? 미친다 진짜. 유심보호 서비스는 무료니 얼른 가입해 둠. 기사에서 봤어요',0
2025-04-22 18:20:32,유심 바꾸는게 베스트인가,0
2025-04-22 18:10:29,"[필수] 유심 비밀번호 설정

- 통신사에서 제공하는 유심보안 서비스도 반드시 해야 하지만, 기본적으로 유심 비밀번호 설정도 필수.

- 소위 유심 스와핑(복제)은 도시괴담이 아니라 국내에 실제 피해사례가 꽤 있으며,  개인차원에서의 최대 방지책은 유심 비밀번호 설정.

갤럭시 유심 비밀번호",26
2025-04-22 18:09:03,유심 해킹 ㅠㅠ,1
2025-04-22 18:08:20,유심보호서비스 우선 가입함.....미친skt도라이들,0
2025-04-22 17:53:21,"이번엔 SK텔레콤 개인정보 유출
2차 피해 가능성은?

#SKT #해킹 #유심 #정보보호",1
2025-04-22 17:29:26,"SKT 유심 해킹 X통해 알았는데, 뉴스에 바로 나오네..",0
2025-04-22 17:28:38,"본인 직접 방문 시에만 유심 재발급 가능 조건 설정 
       (통신사별 다를테니 별도 확인이 필요함) 
 계정별 2단계 인증 수단을 OTP 기반으로 전환 
       (문자 대신  Google Authenticator, Authy 등 사용)
 중요한 계정의 '내 휴대전화 번호' 제거, 연동 해제",1
2025-04-22 17:28:37,"도용된 나의 개인정보, 유심키 정보 조합을 통한 실물 유심카드 재발급 시도를 막기 위해 필요한 추가 조치들에 대해 알아보았다.",0
2025-04-22 17:28:37,"이번 skt 유심 해킹은 우리들의 유심칩을 도난당한 것이 아닌, 유심 정보가 유출된 것이므로 유심보호서비스 가입 외 별도의 조치가 필요한 상황으로 판단된다.",1
2025-04-22 17:28:37,"<skt 유심 해킹 사건>
skt에서 고객 유심 정보가 유출되었다는 사과문과 함께
""유심보호서비스 가입하기"" 링크를 함께 업로드 함.
근데 ""유심보호서비스""는 무단 기기변경 차단이 핵심임. 
""물리적인 유심 칩""이 다른 기기에 옮겨졌을 때를 기준으로 작동하는 것임.",1
2025-04-22 17:25:54,"[SKT 고객센터 문의 내용에 기반해서 알려드림]
1. 유심보호서비스는 Tworld에서 딸깍하여 신청가능.
2. 상담센터 전화를 통해서도 진행가능함. (상담시간내)
0. 뉴스에 뜬 유심보호서비스 관련이야기는 '이런 방법도 있다'는 차원이지, 이걸 안하면 현재 해킹에 무방비 노출되었다는 뜻아님.",0
2025-04-22 17:21:02,"유심도 신청 완료

엔화만 더 바꿔둬야지...",6
2025-04-22 17:19:28,"SKT 유심 해킹^^;;;

-유심 보호 서비스 가입(무료)하라네요.

-""SK텔레콤을 이용해 주시는 고객님께 사과드립니다.

SK텔레콤은 2025년 4월 19일 오후 11시경, 악성코드로 인해 SK텔레콤 고객님의 유심 관련 일부 정보가 유출된 것으로 의심되는 정황을 발견하였습니다.""",78
2025-04-22 17:15:06,"[SKT 유심 해킹 이슈]
19일 SK텔레콤이 해커 악성 코드 공격을 당해서 유심(USIM) 정보가 털렸다네요

유심은 개인을 식벽하고 인증하는데 쓰이는 매체로, 불법 복제시 신원 도용이나 데이터 해킹등의 피해 우려가 있습니다.

피해 방지를 위해 '유심 보호 서비스'를 무료로 이용 할 수 있다고 하니",1
2025-04-22 17:12:23,"SKT 이용자들은 USIM 해킹으로 
자산이 탈취될 수 있으니 
해외에서 사용 못하게 부가서비스 등록하세요 

유심변경가능하면 변경하는게 가장 안전해 보입니다.",2
2025-04-22 16:59:24,스크트 또 무슨 삽질을 했는지 유심 정보가 샜다고 해서 로밍 완전 차단 서비스 신청해 버림.,0
2025-04-22 16:46:11,"SKT 쓰시는 분덜 티월드 접속하셔서 
“유심보호서비스” 무료로 제공중이니 신청하세여.  #코인투자하시는분덜필수가입권함",0
2025-04-22 16:38:18,"SKT 아주 ㅈ같네 ^^

그래도 귀찮다고 패쓰하지 말고 
딱 1분 투자해서 [유심보호서비스] 이거라도 해두자

----------------------------------
[안내] 사이버 침해사고 관련 안내
SK텔레콤을 이용해 주시는 고객님께 사과드립니다.

SK텔레콤은 2025년 4월 19일 오후 11시경, 악성코드로 인해",16
2025-04-22 16:19:40,유심 해킹 기사에 유심 비번 설정하다 폰이 잠기는 사태가 벌어져 대리점까지 다녀온 사람-_-,1
2025-04-22 16:15:17,"SKT 유심 정보 유출 이슈

혹시 모르니 skt사용자 분들은 유심보호 서비스 신청하세요!! (무료)

링크는 아래 첨부",1
2025-04-22 16:14:05,"SKT USIM 해킹당함

유심키들 탈취당햇다는 이야기가 있음.

얼마만큼 당햇는지, 누구꺼가 탈취 당한지 파악은 안되는데, 가입자 거의 다 털린거 같음.

유심키 탈취시 당할수있는 피해

탈취자가 가입자의 번호로 사용가능.
가입번호로 가입하는 사이트들 털릴가능성 높음.

예전에 코인원 이렇게",657
2025-04-22 16:06:36,"ㅈㅇ)저걸 왜 문자든 알림이든 따로 고지를 안하지?? 다른건 뻑하면 메일문자 다 보내면서..
sk쓰는 친구들아 티월드 들어가서 이거 가입하래.....
로밍차단 가입 되어 있으면 해지하라고 뜨는데 난 그거 해지하고 유심보호 가입했어....",27
2025-04-22 16:00:01,"SK텔레콤 고객 정보 털렸다
유심 정보 해킹 당해
#SK텔레콤 #유심 #악성코드",1
2025-04-22 15:46:55,SK텔레콤 쓰시는 캐럿들 티월드 들어가서 [유심보호서비스] 가입하세요,3
2025-04-22 15:42:57,선경그룹 개 병신 새끼야 해킹 당할정도로 가만히 쳐 있었다는게 말이냐? 그것도 유심 해킹? 진짜 개 미친거임? 아니면 뇌에 든게 없는거임? 보안팀 뭐함? 월급 루팡임?,0
2025-04-22 15:23:42,또한 SKT 이용 고객 중 추가 안전 조치를 원하면 홈페이지와 T월드를 통해 유심보호서비스를 받을 수 있다고도 발표했음. 이러한 조치들이 제대로 실행되고 있다면 피해는 생각보다 크지 않을수 있다고 판단됨.,0
2025-04-22 15:23:41,"(3)과 관련해서는, 유심 정보가 유춛됐다고 하면 또 '심 스와핑' 어쩌고 하며 기사를 크게 크게 확대하고 싶은 마음은 십분 이해하나, 이미 SKT는 이에 대한 대책을 발표한 것으로 알고 있음.",0
