created_at,text,sentiment,score
2025-07-04 23:50:04,"아 몰라 히발... 나 오늘 보이드 갔다 오고 무말이랑 유심님한테 난리치러갈거야.....죽을거야.
죽게해줘.지옥의나날.",negative,0.1776822805404663
2025-07-04 23:21:07,유심교체하고 번이하는게 낫겟지 정말 개새끼들때문에 너무너무귀찮다,positive,0.9218280911445618
2025-07-04 23:06:18,싸가지 없이 이번달 14일 ㅋㅋㅋㅋㅋ어제가 4일이었는데 고객들 보고 10일안에 갈아타라고?? ㅋㅋㅋ지들은 아직도 유심교체 다 못했으면서 진짜 싸가지 레전듴ㅋㅋ걍 등록 취소당하고 사업접으세여,negative,0.03423285484313965
2025-07-04 22:24:01,"누가 잘한데요?
이재명을 뽑은건
기억형상종이 이고
이재명이 잘한다. 하는건
유심칩들 입니다",negative,0.3506161570549011
2025-07-04 19:42:00,아하.. 그럼 일본 유심으로 가입+ 카드 등록 완료 됐으면 어지간하면 큰 문제는 없겠네요. 티켓팅 도전은 해봐야겠습니다. 감사합니다.,positive,0.9668598771095276
2025-07-04 19:36:10,아 그럼 괜찮을 거 같은데요? 큰 산은 일본 유심으로 등록하는 거니까,positive,0.8864728212356567
2025-07-04 19:34:12,일본 유심으로 아이디 가입한 다음에 냅두다가 오늘 카드 등록했어요,positive,0.7186841368675232
2025-07-04 18:39:06,"핸드폰 메인보드 나가서 내 멘탈까지 탈탈 털린날...
유심 보호 서비스 걸어놔서 기기변경도 안됨...
그저 월요일까지 이러고 살아야함
1월 팬콘가기 전에 바꿀까말까 엄청 고민했던 그 시점에 바꿨으면 이 사단은 안 났을텐데...
기기 바꾼지 겨우 3년 정도 됐는데 이렇게 됐다는데 대해 진심 뺙침",negative,0.034905850887298584
2025-07-04 18:11:30,내 SKT 유심정보도 털렸네 와~!~!,negative,0.2611149549484253
2025-07-04 17:40:23,"시작부터 난관봉착 ••
사유 : 이심 활성화 영원히 안 됨ㅠㅠㅠ

결국 공항에서 4천엔내고(부들부들…..) 유심 샀는데 세상에 핀이 없는 거.. 2차빡침 상태로 너무 열받아서 폰끄고 기차에서 멍때렸다가 폰 다시 켰는데,, 아니글쎄 갑자기 이심 작동이 정~말 잘되는거 ㅎㅎ 그냥 유심 또 산 사람 됨",negative,0.0026290416717529297
2025-07-04 17:01:49,미친 유심까지줘버렸잖아,negative,0.47408950328826904
2025-07-04 16:47:15,"유심이란다
이심..",negative,0.03692483901977539
2025-07-04 16:46:05,오늘 퇴근하고 공부하고 일요일에 모바일체크인 하고 시험 보고 짐 싸고 유심 사고 새벽 6시 반에 캐리어 들고 공항 간다는 사실이 구라같음 미친거,negative,0.033907294273376465
2025-07-04 16:24:39,왁박박 유심들고 튐 ㅅㄱ,negative,0.32320135831832886
2025-07-04 15:41:11,꿈환커 유심해,negative,0.03512376546859741
2025-07-04 15:27:21,"이전 폰 개 웃긴 점
폰 전원을 나의 의지로 끌 수가 없어서 폰 밝기 최대로 올린 후 유튜브 노래 틀어놓고 꺼지길 영원히 기다림 유심을 빼기 위해서",negative,0.41831833124160767
2025-07-04 15:09:54,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미틴. 요즘엔 ㅈ소기업도 비번은 암호화 하는데 무슨 깡으로 비번을 평문으로 저장한거냐??? 와 진짜 역대급이다. 영상 자세히들 보세요. 진짜 어이가 없네요.

유심 정보 2,696만 건 유출…""아이디·비번도 암호화 안 해"" / SBS  -",negative,0.028744637966156006
2025-07-04 14:33:27,이거 보고 아지미는 별로 자신의 작품을 유심하게 보지않은 상대도 자신만의 예술 세계에 빠져서 생각하게 만드는데 얼마나 표현력이 좋은걸까 생각함,positive,0.9612514972686768
2025-07-04 13:34:22,유심….,positive,0.7085666656494141
2025-07-04 13:04:33,"유심이 28일짜리니까
내가 온지 벌써 거의 한달이 된거임
믿기지가 않아
아직도 일을 못구했다고
근데 첫 일주일은 집구하려고 빼놓은거라 솔짇히 놀았고 본격적으로 일찾기 시작한건 3주니까 멘헤라되지 말아야지... <라 생각은 하는데 일안구해져서 존나 자신감떨어짐 ㅜㅜ",negative,0.06805837154388428
2025-07-04 13:03:24,"오늘은 호주와서 개통햇던 유심이 만료되는 날이라 이제 다른통신사 유심으로 갈아타려 했는데 혼자하려니 번호유지 어케하는지 모르겠어서 결국 매장 찾아감...........
만약에 정줄놓고 저녁에 시도할라했으면 진짜 눈앞이 ㅈㄴ캄캄쓰요..... 내일 주말이라 매장도 안열텐데 말이야...",positive,0.547595202922821
2025-07-04 12:54:40,"정부가 유심 해킹 사태와 관련해 ‘#SK텔레콤’의 귀책 사유를 인정하고 번호이동 시 ‘#위약금’을 면제해야 한다고 판단했다. 민관합동조사단 ""서버 포렌식 불가 상태로 제출"" 증거인멸·조사방해 행위도",negative,0.13381093740463257
2025-07-04 12:54:12,핸펀 하나에 유심 두개쓸수잇는거!!,positive,0.6900847554206848
2025-07-04 12:53:18,"귀국하고 일본에서 쓰던 이심 삭제하고

원래쓰면 번호로 연결했는데 유심이 먹통임

skt 유심보호서비스때문이라는데

이게무슨...",negative,0.024837970733642578
2025-07-04 12:36:49,"원래 가지고 왔던 핸드폰 고장나서 아예 안 켜지는데 일본 심을 유심으로 바꿔서 한국번호를 못 쓰는 중이란 말이지 근데 아직 쓸 수 있을 때도 은행어플은 핸드폰 인증이 안 돼서 못 씀 하하
아무튼 그래서 사진전 가려고 결제하려다가 sms 인증하래서 티켓팅 실패함 핸드폰 번호 말고는 본인인증",negative,0.038830459117889404
2025-07-04 12:19:07,"업무용 알뜰폰 개통했는데 번호가 본회선보다 마음에 들게 나와버렸도
사실 업무용으로 개통한 것도 필요는 없었는데 네이버페이 포인트 주길래 유심 남아서 그냥...",negative,0.07107490301132202
2025-07-04 12:16:09,아 이심쓰면 인터넷쇼핑 카드결제 안되는거 너무불편하네 유심 껏켯해야되,negative,0.026252806186676025
2025-07-04 12:05:48,"SKT위약금 면제
혹시 나도 대상자??

#SKT",positive,0.6130152940750122
2025-07-04 11:52:45,유심털린값으로 연말까지 데이터 주신답니다 ㅋㅋ,negative,0.2750425934791565
2025-07-04 11:37:04,"선택약정 기간 끝나고, 공시지원금도 안 받았고
계속 유지중인 사람도 뭔 혜택을 줘야 될거아님?
어이가없네  충성맹세(?)했던 사람들은 유심만 바꿔주면 끝임?",negative,0.006552636623382568
2025-07-04 11:35:43,"오 이런.............
내친구도 그래서 이번주에 나랑 엄마몰래갔다가 오늘 유심끼니까 캐치콜 떠있던데.....",negative,0.0587809681892395
2025-07-04 11:31:31,근데 솔직히 이때든 이전이든 이미 털릴 개인정보는 다 탈탈 털리고있던거같음 그래서 그냥 아방방하게 오.. 그래 주니까 받을게 할뿐이지 딱히 갈아타지도않음 귀찮아 유심교체도 귀찮았어..,positive,0.7675632238388062
2025-07-04 11:18:39,유심함은 모두에게 공평한 것? 혹은 개개인마다 차별점이 있나요?,negative,0.23911911249160767
2025-07-04 11:06:24,아 skt에서 갈아타려고 날아가서 유심 사와서 개통진행 하는데 3개월 이내 이동전화 제한 걸려서 제항해제신청서 쓰느라 오늘은 못하게 되었다...8시 넘엇어,negative,0.07313758134841919
2025-07-04 11:00:49,"SKT ""7월 14일까지 약정해지 위약금 면제…해지한 고객엔 소급적용""

SK텔레콤이 유심 해킹 사태에 대한 정부의 위약금 면제 가능 판단을 받아들이고 관련 조치를 발표함. 유영상 대표는 기자간담회에서 전 임직원이 조사 결과를 엄중히 받아들이며 고객과 사회에 사과한다고 밝힘.

‘책임과 약속’",negative,0.4244961738586426
2025-07-04 10:41:27,헐… 급하면 걍 다른 걸루 개통해 ㅠ~~! 편의점에서 유심파는데로… 유심불량이면 개통취소 가능할듯,negative,0.2920403480529785
2025-07-04 10:39:54,강남역 주변에 서식하고 있습니다... 흑흑.. 요즘 공공 와이파이 된다고해도 막상 연결하면 거의 안되더라구요. 흑.. (작년에 유심고장나서 와이파이 찾아다녔던 사람 <),positive,0.8369375467300415
2025-07-04 10:26:04,여긴 외국인이라 말 통하는 것도 힘들다 살려줘 난 유심 끼는 법 모른다고 :3...,negative,0.16019797325134277
2025-07-04 10:25:58,"유심칩 바꾼대요
못 돌아와도 저 잊지마세요 ㅜㅜ",positive,0.683550238609314
