created_at,text,sentiment,score
2025-07-03 22:53:34,"핸드폰 유심 인식이 계속 안 된다
이런적 처음인데 어이없네
핸드폰 바꿔서 유심 끼워도 안됨
새로 발급받아야 하나 보네 
짜증이 난다",negative,0.001662135124206543
2025-07-03 21:35:29,반대로 윤이는 초가 시조 읊을 때 어랏?하는 느낌으로 유심~히 쳐다보는데 사실상 이때 서로가 품은 뜻이 같음을 확인한 거라고 생각함,positive,0.9670661091804504
2025-07-03 20:02:07,문의 【텔】필리핀 유심등록 필리핀면허증 발급 필리핀 텔레그램 판매 전부 해결! #필리핀유심등록 #필리핀...  via,negative,0.07059156894683838
2025-07-03 18:39:26,"2025 미국 여행 가이드: 


미국 여행 준비, 막막하신가요? 비자부터 보험, 환전, 유심까지 한 번에 정리했습니다.
꼭 필요한 것만 콕콕 짚은 실속 체크리스트로 시간과 비용을 아끼세요.
복잡한 준비 과정을 쉽게 이해하고 깔끔하게 끝낼 수 있도록 도와드립니다.
안전하고",negative,0.38446152210235596
2025-07-03 17:17:05,오 이거 진짜 효율템이다 유심 보관까지 가능,negative,0.38303786516189575
2025-07-03 16:46:18,머리에 유심 교체해서 인식하라,negative,0.26570552587509155
2025-07-03 16:34:03,"유심시!!!!
저도 쾌난HO2예요!!!!!
하이파이브 짝",negative,0.36082160472869873
2025-07-03 15:51:02,샌들이없는데 하나를 급하게살까 고민되는 부분 이네요 ... 유심은 사놨고 모자는 꼴칰모자 쓰고가서 위압감을 줘야 겠어요,negative,0.21820253133773804
2025-07-03 15:35:57,와 유심트레이 두께급 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,negative,0.4419330954551697
2025-07-03 15:12:08,"유심은 e심 사면 됨 바로 연결 가능 ㅇㅇ
환전은 뭐… 파이팅
난 그래서 트래블로그 씀",negative,0.30232226848602295
2025-07-03 14:56:52,"배송까지 편안히 모실수잇도록 노력하겠습니다.. ^///^
아 맞아 그리고 가을 라이브 공연… 땜에 전달드려야 될 얘기도있는데 (유심 관련 임…)
어차피 네부사마도 아셔야하니까 내일 아침~낮 쯤에 디엠방 만들게요!!",negative,0.16528922319412231
2025-07-03 14:06:52,"할거

1. 하나셀유심개통.
2. 구글계정국가변경후 티켓어플받고개인인증하기
3. 나츠조메티켓사기
4. 슈가랜드티켓양도구해보기",negative,0.04128199815750122
2025-07-03 14:02:53,가격을 유심하게 지켜봐야 될듯요..? 혹시 야핑 보상줄때만 살짝 $M 가격 올리고 그런건 안하겠져?,negative,0.11479413509368896
2025-07-03 13:36:16,"휴대폰이 갑자기 또  무한부팅 걸려서 급하게 메인보드 전원분리했는데

충전단자 에 물먹어서 이러는 것 같아서 빼다가 유심슬롯 빼는 걸 깜빡해서

드라이버로 케이블 접촉 단자를 썰어버렸음...

그런고로
커미션 받습니다....
1천자 당 8천원...

자가수리멍청비용 35000원이 필요합니다...",negative,0.027150511741638184
